Sample.Name,Pop,Pop_Type,Variety
TMA-ZAIN-G-378,NBG,Garden,Garden
TMA-ZAIN-G-379,KWTFBG,Garden,Garden
TMA-ZAIN-G-380,KWTFBG,Garden,Garden
TMA-ZAIN-G-381,KWTFBG,Garden,Garden
TMA-ZAIN-G-382,KWTFBG,Garden,Garden
TMA-ZAIN-G-383,KWTFBG,Garden,Garden
TMA-ZAIN-G-384,KWTFBG,Garden,Garden
TMA-ZAIN-G-385,KWTFBG,Garden,Garden
TMA-ZAIN-G-386,KWTFBG,Garden,Garden
TMA-ZAIN-G-387,KWTFBG,Garden,Garden
ZFB01,Bronson,Wild,integrifolia
ZFB02,Bronson,Wild,integrifolia
ZFB03,Bronson,Wild,integrifolia
ZFB04,Bronson,Wild,integrifolia
ZFB05,Bronson,Wild,integrifolia
ZFB06,Bronson,Wild,integrifolia
ZFB07,Bronson,Wild,integrifolia
ZFB08,Bronson,Wild,integrifolia
ZFB09,Bronson,Wild,integrifolia
ZFB10,Bronson,Wild,integrifolia
ZFB11,Bronson,Wild,integrifolia
ZFB12,Bronson,Wild,integrifolia
ZFB13,Bronson,Wild,integrifolia
ZFB14,Bronson,Wild,integrifolia
ZFB15,Bronson,Wild,integrifolia
ZFB16,Bronson,Wild,integrifolia
ZFB17,Bronson,Wild,integrifolia
ZFB18,Bronson,Wild,integrifolia
ZFB19,Bronson,Wild,integrifolia
ZFB20,Bronson,Wild,integrifolia
ZFB21,Bronson,Wild,integrifolia
ZFB22,Bronson,Wild,integrifolia
ZFB23,Bronson,Wild,integrifolia
ZFB24,Bronson,Wild,integrifolia
ZFB25,Bronson,Wild,integrifolia
ZFB26,Bronson,Wild,integrifolia
ZFB27,Bronson,Wild,integrifolia
ZFB28,Bronson,Wild,integrifolia
ZFB29,Bronson,Wild,integrifolia
ZFB30,Bronson,Wild,integrifolia
ZFB31,Bronson,Wild,integrifolia
ZFB32,Bronson,Wild,integrifolia
ZFB33,Bronson,Wild,integrifolia
ZFB34,Bronson,Wild,integrifolia
ZFB35,Bronson,Wild,integrifolia
ZFBP101,Bulow 1,Wild,umbrosa
ZFBP102,Bulow 1,Wild,umbrosa
ZFBP103,Bulow 1,Wild,umbrosa
ZFBP104,Bulow 1,Wild,umbrosa
ZFBP105,Bulow 1,Wild,umbrosa
ZFBP106,Bulow 1,Wild,umbrosa
ZFBP107,Bulow 1,Wild,umbrosa
ZFBP108,Bulow 1,Wild,umbrosa
ZFBP109,Bulow 1,Wild,umbrosa
ZFBP110,Bulow 1,Wild,umbrosa
ZFBP111,Bulow 1,Wild,umbrosa
ZFBP112,Bulow 1,Wild,umbrosa
ZFBP113,Bulow 1,Wild,umbrosa
ZFBP114,Bulow 1,Wild,umbrosa
ZFBP115,Bulow 1,Wild,umbrosa
ZFBP116,Bulow 1,Wild,umbrosa
ZFBP117,Bulow 1,Wild,umbrosa
ZFBP118,Bulow 1,Wild,umbrosa
ZFBP119,Bulow 1,Wild,umbrosa
ZFBP120,Bulow 1,Wild,umbrosa
ZFBP121,Bulow 1,Wild,umbrosa
ZFBP122,Bulow 1,Wild,umbrosa
ZFBP123,Bulow 1,Wild,umbrosa
ZFBP124,Bulow 1,Wild,umbrosa
ZFBP125,Bulow 1,Wild,umbrosa
ZFBP126,Bulow 1,Wild,umbrosa
ZFBP127,Bulow 1,Wild,umbrosa
ZFBP128,Bulow 1,Wild,umbrosa
ZFBP129,Bulow 1,Wild,umbrosa
ZFBP130,Bulow 1,Wild,umbrosa
ZFBP131,Bulow 1,Wild,umbrosa
ZFBP132,Bulow 1,Wild,umbrosa
ZFBP133,Bulow 1,Wild,umbrosa
ZFBP134,Bulow 1,Wild,umbrosa
ZFBP135,Bulow 1,Wild,umbrosa
ZFBP136,Bulow 1,Wild,umbrosa
ZFBP201,Bulow 2,Wild,umbrosa
ZFBP202,Bulow 2,Wild,umbrosa
ZFBP203,Bulow 2,Wild,umbrosa
ZFBP204,Bulow 2,Wild,umbrosa
ZFBP205,Bulow 2,Wild,umbrosa
ZFBP206,Bulow 2,Wild,umbrosa
ZFBP207,Bulow 2,Wild,umbrosa
ZFBP208,Bulow 2,Wild,umbrosa
ZFBP209,Bulow 2,Wild,umbrosa
ZFBP210,Bulow 2,Wild,umbrosa
ZFBP211,Bulow 2,Wild,umbrosa
ZFBP212,Bulow 2,Wild,umbrosa
ZFBP213,Bulow 2,Wild,umbrosa
ZFBP214,Bulow 2,Wild,umbrosa
ZFBP215,Bulow 2,Wild,umbrosa
ZFBP216,Bulow 2,Wild,umbrosa
ZFBP217,Bulow 2,Wild,umbrosa
ZFBP218,Bulow 2,Wild,umbrosa
ZFBP219,Bulow 2,Wild,umbrosa
ZFBP220,Bulow 2,Wild,umbrosa
ZFBP221,Bulow 2,Wild,umbrosa
ZFBP222,Bulow 2,Wild,umbrosa
ZFBP223,Bulow 2,Wild,umbrosa
ZFBP224,Bulow 2,Wild,umbrosa
ZFBP225,Bulow 2,Wild,umbrosa
ZFBP226,Bulow 2,Wild,umbrosa
ZFBP227,Bulow 2,Wild,umbrosa
ZFBP228,Bulow 2,Wild,umbrosa
ZFBP229,Bulow 2,Wild,umbrosa
ZFBP230,Bulow 2,Wild,umbrosa
ZFBP231,Bulow 2,Wild,umbrosa
ZFBP232,Bulow 2,Wild,umbrosa
ZFBP233,Bulow 2,Wild,umbrosa
ZFCC01,Cayo Costa,Wild,integrifolia
ZFCC03,Cayo Costa,Wild,integrifolia
ZFCC04,Cayo Costa,Wild,integrifolia
ZFCC05,Cayo Costa,Wild,integrifolia
ZFCC08,Cayo Costa,Wild,integrifolia
ZFCC09,Cayo Costa,Wild,integrifolia
ZFCC10,Cayo Costa,Wild,integrifolia
ZFCC11,Cayo Costa,Wild,integrifolia
ZFCC12,Cayo Costa,Wild,integrifolia
ZFCC13,Cayo Costa,Wild,integrifolia
ZFCC14,Cayo Costa,Wild,integrifolia
ZFCC15,Cayo Costa,Wild,integrifolia
ZFCC16,Cayo Costa,Wild,integrifolia
ZFCC17,Cayo Costa,Wild,integrifolia
ZFCC18,Cayo Costa,Wild,integrifolia
ZFCC19,Cayo Costa,Wild,integrifolia
ZFCC20,Cayo Costa,Wild,integrifolia
