Sample.Name,Pop,Cluster,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
TMA-ZAIN-G-63,MBC,,0.02,0.005,0.021,0.003,0.099,0.012,0.011,0.009,0.005,0.005,0.007,0.041,0.011,0.005,0.007,0.003,0.02,0.01,0.24,0.178,0.049,0.009,0.006,0.012,0.212
TMA-ZAIN-G-64,MBC,,0.003,0.002,0.002,0.008,0.002,0.002,0.003,0.003,0.008,0.007,0.005,0.003,0.005,0.004,0.005,0.902,0.003,0.006,0.002,0.002,0.002,0.005,0.007,0.004,0.002
TMA-ZAIN-G-65,MBC,,0.006,0.002,0.003,0.005,0.003,0.003,0.01,0.006,0.006,0.007,0.147,0.007,0.008,0.009,0.006,0.707,0.009,0.012,0.003,0.003,0.003,0.008,0.009,0.015,0.003
TMA-ZAIN-G-66,MBC,,0.005,0.003,0.002,0.011,0.002,0.003,0.006,0.005,0.043,0.027,0.013,0.004,0.005,0.011,0.007,0.769,0.004,0.025,0.003,0.002,0.003,0.01,0.025,0.009,0.002
TMA-ZAIN-G-67,MBC,,0.004,0.015,0.01,0.073,0.003,0.011,0.006,0.016,0.046,0.021,0.017,0.006,0.003,0.012,0.011,0.57,0.004,0.09,0.004,0.008,0.008,0.01,0.034,0.014,0.004
TMA-ZAIN-G-68,MBC,,0.004,0.002,0.002,0.004,0.003,0.003,0.009,0.003,0.004,0.005,0.006,0.003,0.006,0.004,0.005,0.906,0.005,0.004,0.002,0.002,0.003,0.005,0.005,0.004,0.002
TMA-ZAIN-G-69,MBC,,0.015,0.019,0.017,0.021,0.019,0.019,0.006,0.006,0.019,0.015,0.036,0.003,0.013,0.005,0.005,0.622,0.009,0.079,0.008,0.008,0.013,0.004,0.011,0.021,0.007
TMA-ZAIN-G-70,MBC,,0.007,0.004,0.004,0.79,0.004,0.007,0.003,0.004,0.028,0.013,0.005,0.003,0.004,0.009,0.006,0.008,0.003,0.031,0.003,0.005,0.003,0.005,0.011,0.038,0.003
TMA-ZAIN-G-71,MBC,,0.004,0.004,0.003,0.784,0.003,0.003,0.005,0.004,0.074,0.011,0.008,0.004,0.003,0.012,0.008,0.004,0.003,0.026,0.003,0.003,0.003,0.005,0.009,0.012,0.003
TMA-ZAIN-G-72,MBC,,0.004,0.003,0.003,0.85,0.003,0.004,0.005,0.008,0.008,0.008,0.009,0.007,0.005,0.005,0.008,0.013,0.006,0.011,0.003,0.004,0.004,0.007,0.014,0.005,0.002
TMA-ZAIN-G-73,MBC,,0.004,0.014,0.012,0.777,0.009,0.007,0.005,0.006,0.007,0.005,0.013,0.027,0.003,0.011,0.006,0.006,0.005,0.011,0.007,0.022,0.011,0.005,0.006,0.008,0.013
TMA-ZAIN-G-74,MBC,,0.003,0.005,0.004,0.85,0.003,0.005,0.005,0.004,0.008,0.007,0.022,0.005,0.003,0.006,0.007,0.004,0.004,0.009,0.005,0.009,0.006,0.004,0.007,0.01,0.006
TMA-ZAIN-G-75,MBC,,0.004,0.003,0.003,0.864,0.004,0.004,0.006,0.005,0.009,0.005,0.016,0.009,0.004,0.005,0.005,0.004,0.006,0.011,0.004,0.005,0.005,0.004,0.005,0.008,0.003
TMA-ZAIN-G-76,MBC,,0.003,0.021,0.009,0.767,0.003,0.01,0.004,0.004,0.071,0.011,0.007,0.003,0.003,0.006,0.006,0.005,0.003,0.023,0.003,0.005,0.008,0.004,0.007,0.008,0.005
TMA-ZAIN-G-77,MBC,,0.008,0.006,0.003,0.864,0.003,0.005,0.004,0.006,0.012,0.007,0.004,0.004,0.005,0.006,0.009,0.006,0.004,0.006,0.003,0.003,0.005,0.006,0.015,0.004,0.002
TMA-ZAIN-G-78,MBC,,0.01,0.011,0.008,0.771,0.005,0.014,0.006,0.007,0.032,0.006,0.014,0.007,0.004,0.005,0.005,0.004,0.006,0.016,0.006,0.006,0.01,0.004,0.032,0.007,0.005
TMA-ZAIN-G-79,MBC,,0.029,0.011,0.004,0.692,0.004,0.008,0.005,0.006,0.042,0.006,0.006,0.004,0.006,0.004,0.007,0.004,0.004,0.009,0.004,0.003,0.007,0.007,0.119,0.005,0.003
TMA-ZAIN-G-80,MBC,,0.008,0.008,0.003,0.497,0.002,0.004,0.01,0.007,0.038,0.02,0.034,0.016,0.004,0.015,0.019,0.023,0.011,0.09,0.002,0.005,0.003,0.017,0.09,0.071,0.003
TMA-ZAIN-G-81,MBC,,0.034,0.012,0.005,0.408,0.004,0.012,0.01,0.01,0.301,0.02,0.01,0.007,0.008,0.041,0.01,0.005,0.005,0.03,0.004,0.004,0.008,0.011,0.03,0.01,0.003
TMA-ZAIN-G-82,MBC,,0.006,0.002,0.002,0.034,0.006,0.004,0.01,0.005,0.219,0.023,0.344,0.009,0.005,0.013,0.006,0.135,0.012,0.103,0.004,0.004,0.005,0.008,0.008,0.03,0.003
TMA-ZAIN-G-83,MBC,,0.004,0.015,0.013,0.007,0.022,0.006,0.017,0.01,0.009,0.022,0.552,0.011,0.004,0.047,0.006,0.016,0.005,0.076,0.015,0.015,0.008,0.015,0.024,0.061,0.02
TMA-ZAIN-G-84,MBC,,0.011,0.052,0.009,0.372,0.003,0.016,0.006,0.006,0.359,0.012,0.006,0.004,0.005,0.032,0.011,0.005,0.004,0.02,0.004,0.004,0.009,0.008,0.03,0.01,0.004
TMA-ZAIN-G-85,MBC,,0.917,0.002,0.004,0.003,0.004,0.003,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.006,0.003,0.004,0.003,0.004,0.003,0.004
TMA-ZAIN-G-86,MBC,,0.84,0.007,0.003,0.005,0.003,0.004,0.008,0.006,0.011,0.015,0.007,0.005,0.003,0.012,0.008,0.005,0.004,0.013,0.004,0.004,0.003,0.01,0.008,0.008,0.004
TMA-ZAIN-G-87,MBC,,0.919,0.003,0.005,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.004,0.003,0.005,0.003,0.004,0.003,0.003,0.003,0.004
TMA-ZAIN-G-88,MBC,,0.22,0.008,0.008,0.012,0.018,0.008,0.01,0.009,0.029,0.012,0.12,0.026,0.019,0.013,0.007,0.023,0.073,0.056,0.008,0.014,0.006,0.01,0.041,0.041,0.209
TMA-ZAIN-G-89,MBC,,0.206,0.015,0.014,0.019,0.009,0.006,0.005,0.004,0.044,0.017,0.022,0.137,0.026,0.013,0.007,0.014,0.273,0.019,0.018,0.006,0.009,0.016,0.036,0.018,0.043
TMA-ZAIN-G-90,MBC,,0.775,0.004,0.004,0.003,0.027,0.004,0.005,0.006,0.003,0.005,0.03,0.008,0.004,0.005,0.004,0.009,0.039,0.019,0.005,0.007,0.007,0.005,0.004,0.014,0.004
TMA-ZAIN-G-91,MBC,,0.625,0.006,0.005,0.007,0.005,0.005,0.013,0.019,0.016,0.016,0.009,0.014,0.013,0.011,0.006,0.009,0.045,0.012,0.006,0.013,0.006,0.009,0.008,0.006,0.117
TMA-ZAIN-G-92,MBC,,0.379,0.035,0.019,0.008,0.014,0.016,0.007,0.037,0.011,0.01,0.008,0.053,0.012,0.007,0.008,0.005,0.284,0.011,0.008,0.008,0.033,0.009,0.009,0.004,0.006
TMA-ZAIN-G-93,MBC,,0.064,0.012,0.009,0.005,0.008,0.014,0.006,0.13,0.007,0.008,0.005,0.022,0.021,0.005,0.006,0.005,0.561,0.008,0.006,0.015,0.017,0.006,0.006,0.003,0.051
TMA-ZAIN-G-94,MBC,,0.612,0.007,0.009,0.005,0.017,0.007,0.005,0.017,0.006,0.006,0.005,0.018,0.006,0.005,0.003,0.005,0.065,0.004,0.011,0.016,0.008,0.004,0.004,0.003,0.154
TMA-ZAIN-G-95,MBC,,0.005,0.003,0.007,0.011,0.015,0.023,0.004,0.811,0.004,0.006,0.003,0.004,0.014,0.003,0.021,0.007,0.003,0.004,0.005,0.007,0.012,0.013,0.007,0.006,0.004
TMA-ZAIN-G-96,MBC,,0.009,0.005,0.011,0.003,0.005,0.064,0.005,0.538,0.004,0.004,0.004,0.007,0.014,0.035,0.036,0.004,0.005,0.005,0.02,0.014,0.075,0.119,0.004,0.005,0.004
TMA-ZAIN-G-97,MBC,,0.007,0.005,0.006,0.022,0.254,0.015,0.008,0.005,0.009,0.008,0.005,0.011,0.006,0.005,0.003,0.006,0.013,0.004,0.024,0.033,0.034,0.006,0.004,0.003,0.505
TMA-ZAIN-G-98,MBC,,0.005,0.003,0.004,0.034,0.194,0.004,0.01,0.003,0.007,0.008,0.004,0.009,0.004,0.004,0.003,0.003,0.01,0.003,0.01,0.006,0.005,0.004,0.004,0.003,0.657
TMA-ZAIN-G-99,MBC,,0.003,0.006,0.005,0.01,0.024,0.004,0.016,0.004,0.018,0.183,0.012,0.003,0.005,0.006,0.017,0.006,0.004,0.011,0.005,0.007,0.004,0.005,0.023,0.011,0.613
TMA-ZAIN-G-101,MBC,,0.016,0.005,0.004,0.009,0.012,0.003,0.004,0.004,0.005,0.003,0.01,0.01,0.004,0.003,0.004,0.012,0.003,0.007,0.032,0.045,0.005,0.003,0.002,0.782,
TMA-ZAIN-G-102,MBC,,0.004,0.004,0.005,0.035,0.011,0.005,0.006,0.019,0.049,0.004,0.012,0.005,0.003,0.003,0.004,0.006,0.004,0.004,0.087,0.021,0.005,0.008,0.005,0.69,
TMA-ZAIN-G-103,MBC,,0.009,0.282,0.013,0.341,0.018,0.006,0.008,0.006,0.011,0.008,0.005,0.016,0.004,0.034,0.009,0.008,0.013,0.009,0.053,0.043,0.018,0.011,0.027,0.011,
TMA-ZAIN-G-104,MBC,,0.004,0.052,0.006,0.672,0.021,0.007,0.011,0.008,0.007,0.009,0.005,0.005,0.005,0.007,0.004,0.004,0.01,0.025,0.012,0.05,0.005,0.008,0.008,0.012,
TMA-ZAIN-G-105,MBC,,0.004,0.006,0.002,0.919,0.004,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.002,0.002,0.003,0.002,0.006,0.004,0.005,0.002,0.003,0.003,0.006,
TMA-ZAIN-G-106,MBC,,0.003,0.021,0.005,0.691,0.01,0.009,0.013,0.008,0.007,0.011,0.006,0.004,0.005,0.007,0.004,0.004,0.012,0.03,0.011,0.028,0.005,0.008,0.01,0.01,
TMA-ZAIN-G-107,MBC,,0.003,0.003,0.045,0.004,0.004,0.018,0.006,0.028,0.064,0.013,0.004,0.039,0.018,0.063,0.022,0.005,0.01,0.004,0.004,0.004,0.559,0.041,0.031,0.003,
TMA-ZAIN-G-108,MBC,,0.003,0.003,0.09,0.005,0.004,0.015,0.005,0.037,0.213,0.048,0.008,0.01,0.014,0.013,0.012,0.007,0.057,0.004,0.004,0.004,0.041,0.103,0.29,0.004,
TMA-ZAIN-G-109,MBC,,0.015,0.022,0.009,0.011,0.01,0.007,0.004,0.021,0.016,0.01,0.014,0.017,0.532,0.006,0.005,0.007,0.011,0.11,0.02,0.033,0.015,0.007,0.006,0.06,
TMA-ZAIN-G-110,MBC,,0.004,0.005,0.006,0.007,0.006,0.042,0.017,0.013,0.015,0.065,0.072,0.023,0.023,0.049,0.078,0.027,0.021,0.022,0.063,0.006,0.02,0.066,0.133,0.205,
TMA-ZAIN-G-111,MBC,,0.069,0.041,0.012,0.021,0.038,0.04,0.021,0.035,0.125,0.033,0.011,0.013,0.033,0.033,0.006,0.012,0.049,0.04,0.018,0.076,0.037,0.151,0.046,0.025,
