,,,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
ZFCC04,ZFCC,C24,0.006,0.005,0.007,0.004,0.006,0.018,0.004,0.003,0.004,0.004,0.005,0.005,0.004,0.005,0.003,0.004,0.003,0.006,0.005,0.003,0.006,0.005,0.005,0.876,0.004
ZFCC05,ZFCC,C24,0.011,0.006,0.007,0.006,0.006,0.085,0.006,0.004,0.005,0.005,0.008,0.008,0.01,0.009,0.004,0.008,0.005,0.018,0.009,0.006,0.014,0.009,0.007,0.74,0.005
ZFCC08,ZFCC,C24,0.012,0.002,0.019,0.008,0.003,0.012,0.009,0.008,0.01,0.004,0.029,0.019,0.006,0.013,0.015,0.028,0.006,0.005,0.008,0.006,0.003,0.003,0.003,0.766,0.002
ZFCC09,ZFCC,C24,0.013,0.003,0.003,0.003,0.003,0.006,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.007,0.005,0.003,0.007,0.003,0.004,0.003,0.003,0.003,0.902,0.003
ZFCC10,ZFCC,C24,0.043,0.004,0.003,0.003,0.004,0.009,0.003,0.003,0.003,0.004,0.005,0.004,0.003,0.005,0.006,0.004,0.002,0.004,0.003,0.003,0.004,0.004,0.003,0.866,0.003
ZFCC11,ZFCC,C24,0.009,0.004,0.005,0.004,0.004,0.009,0.004,0.004,0.005,0.004,0.007,0.004,0.004,0.007,0.004,0.005,0.004,0.01,0.004,0.005,0.004,0.004,0.004,0.879,0.003
ZFCC12,ZFCC,C24,0.022,0.005,0.006,0.008,0.085,0.048,0.011,0.005,0.007,0.033,0.005,0.009,0.009,0.009,0.003,0.011,0.008,0.012,0.011,0.007,0.01,0.019,0.008,0.643,0.005
ZFCC13,ZFCC,C24,0.005,0.004,0.006,0.011,0.006,0.008,0.016,0.012,0.006,0.004,0.007,0.017,0.012,0.018,0.005,0.009,0.012,0.008,0.013,0.011,0.007,0.004,0.005,0.781,0.012
ZFCC14,ZFCC,C24,0.009,0.017,0.009,0.007,0.005,0.039,0.01,0.011,0.015,0.009,0.025,0.006,0.006,0.012,0.008,0.004,0.003,0.005,0.004,0.007,0.007,0.012,0.006,0.761,0.005
ZFCC15,ZFCC,C24,0.005,0.003,0.004,0.004,0.006,0.005,0.005,0.004,0.003,0.005,0.005,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.009,0.003,0.005,0.004,0.004,0.893,0.004
