,,,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
ZFPB06,ZFBP,C25,0.005,0.004,0.002,0.002,0.008,0.006,0.003,0.003,0.002,0.003,0.002,0.003,0.002,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.917
ZFPB07,ZFBP,C25,0.002,0.002,0.003,0.003,0.003,0.002,0.004,0.004,0.003,0.002,0.003,0.004,0.003,0.004,0.003,0.002,0.003,0.002,0.003,0.003,0.003,0.002,0.003,0.002,0.932
ZFPB08,ZFBP,C25,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.003,0.003,0.003,0.004,0.003,0.003,0.005,0.003,0.003,0.004,0.003,0.004,0.004,0.003,0.004,0.004,0.915
ZFPB10,ZFBP,C25,0.003,0.002,0.002,0.002,0.004,0.003,0.003,0.003,0.002,0.003,0.002,0.002,0.003,0.003,0.002,0.002,0.003,0.004,0.003,0.002,0.004,0.003,0.004,0.003,0.932
ZFPB11,ZFBP,C25,0.003,0.002,0.003,0.003,0.004,0.003,0.003,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.002,0.002,0.003,0.002,0.003,0.002,0.004,0.002,0.003,0.003,0.935
ZFPB12,ZFBP,C25,0.003,0.003,0.003,0.003,0.004,0.004,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.004,0.003,0.004,0.003,0.932
ZFPB13,ZFBP,C25,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0.004,0.003,0.003,0.003,0.002,0.928
ZFPB14,ZFBP,C25,0.002,0.003,0.003,0.003,0.003,0.002,0.004,0.004,0.003,0.002,0.003,0.004,0.003,0.004,0.003,0.002,0.003,0.002,0.003,0.003,0.003,0.002,0.003,0.003,0.93
ZFPB15,ZFBP,C25,0.003,0.003,0.003,0.003,0.003,0.003,0.005,0.005,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.002,0.003,0.003,0.002,0.005,0.003,0.002,0.003,0.003,0.921
ZFPB17,ZFBP,C25,0.003,0.003,0.002,0.002,0.004,0.003,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.004,0.003,0.004,0.003,0.936
ZFPB18,ZFBP,C25,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.003,0.003,0.942
ZFPB19,ZFBP,C25,0.005,0.007,0.003,0.003,0.007,0.005,0.004,0.005,0.003,0.004,0.003,0.003,0.003,0.003,0.005,0.003,0.003,0.004,0.003,0.006,0.005,0.004,0.005,0.005,0.901
ZFPB20,ZFBP,C25,0.002,0.003,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.002,0.943
ZFPB21,ZFBP,C25,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.002,0.002,0.003,0.002,0.006,0.003,0.003,0.003,0.002,0.925
ZFPB22,ZFBP,C25,0.003,0.003,0.002,0.002,0.004,0.004,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.005,0.003,0.004,0.003,0.936
ZFPB23,ZFBP,C25,0.003,0.004,0.003,0.003,0.004,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.003,0.004,0.003,0.924
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFSF01,ZFSF,C2,0.045,0.577,0.002,0.005,0.006,0.005,0.005,0.003,0.006,0.047,0.005,0.003,0.004,0.004,0.003,0.007,0.004,0.005,0.128,0.004,0.033,0.028,0.063,0.005,0.002
ZFSF02,ZFSF,C2,0.01,0.423,0.004,0.01,0.005,0.006,0.013,0.01,0.03,0.073,0.014,0.007,0.009,0.011,0.004,0.022,0.01,0.005,0.246,0.01,0.021,0.011,0.036,0.007,0.003
ZFSF03,ZFSF,C2,0.012,0.096,0.003,0.005,0.066,0.005,0.006,0.005,0.006,0.491,0.008,0.004,0.003,0.004,0.003,0.006,0.005,0.003,0.067,0.004,0.024,0.123,0.044,0.004,0.003
ZFSF04,ZFSF,C2,0.024,0.128,0.006,0.006,0.025,0.02,0.007,0.008,0.008,0.454,0.021,0.007,0.003,0.007,0.008,0.008,0.004,0.003,0.026,0.006,0.006,0.2,0.005,0.008,0.002
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFSW101,ZFSW1,C11,0.036,0.01,0.004,0.01,0.082,0.007,0.016,0.007,0.113,0.077,0.276,0.006,0.005,0.037,0.005,0.008,0.007,0.004,0.006,0.008,0.014,0.25,0.006,0.003,0.003
ZFSW102,ZFSW1,C11,0.053,0.029,0.007,0.007,0.045,0.035,0.006,0.006,0.021,0.249,0.053,0.011,0.004,0.041,0.004,0.006,0.004,0.003,0.013,0.006,0.008,0.367,0.005,0.012,0.004
ZFSW103,ZFSW1,C11,0.368,0.037,0.008,0.016,0.015,0.011,0.013,0.01,0.068,0.048,0.022,0.008,0.015,0.012,0.014,0.011,0.033,0.008,0.007,0.005,0.023,0.234,0.008,0.005,0.003
ZFSW104,ZFSW1,C11,0.008,0.068,0.009,0.012,0.015,0.008,0.014,0.01,0.018,0.172,0.034,0.011,0.006,0.01,0.004,0.021,0.006,0.002,0.013,0.003,0.008,0.529,0.004,0.012,0.003
ZFSW105,ZFSW1,C11,0.02,0.148,0.004,0.006,0.007,0.006,0.008,0.006,0.028,0.058,0.432,0.005,0.004,0.016,0.006,0.004,0.003,0.003,0.005,0.006,0.009,0.204,0.004,0.005,0.005
ZFSW106,ZFSW1,C11,0.136,0.029,0.029,0.008,0.021,0.004,0.012,0.016,0.015,0.386,0.029,0.007,0.011,0.015,0.04,0.004,0.018,0.011,0.013,0.005,0.017,0.115,0.04,0.008,0.009
ZFSW107,ZFSW1,C11,0.133,0.008,0.004,0.007,0.414,0.013,0.007,0.004,0.021,0.023,0.131,0.011,0.003,0.031,0.004,0.004,0.004,0.003,0.005,0.005,0.007,0.145,0.004,0.005,0.004
ZFSW108,ZFSW1,C11,0.648,0.037,0.003,0.004,0.08,0.005,0.003,0.003,0.005,0.032,0.006,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.005,0.003,0.024,0.103,0.008,0.006,0.005
ZFSW109,ZFSW1,C11,0.431,0.022,0.008,0.003,0.122,0.003,0.004,0.007,0.02,0.17,0.011,0.003,0.005,0.004,0.009,0.003,0.007,0.005,0.004,0.002,0.005,0.127,0.003,0.02,0.003
ZFSW110,ZFSW1,C11,0.136,0.033,0.009,0.008,0.062,0.011,0.009,0.007,0.07,0.357,0.027,0.008,0.008,0.026,0.009,0.005,0.017,0.006,0.007,0.004,0.008,0.154,0.006,0.005,0.005
ZFSW111,ZFSW1,C11,0.046,0.01,0.004,0.008,0.149,0.008,0.011,0.007,0.094,0.086,0.38,0.007,0.004,0.041,0.005,0.007,0.005,0.004,0.005,0.006,0.005,0.089,0.005,0.007,0.005
ZFSW112,ZFSW1,C11,0.612,0.014,0.005,0.012,0.004,0.009,0.015,0.008,0.033,0.015,0.119,0.012,0.005,0.028,0.009,0.006,0.005,0.004,0.005,0.005,0.007,0.038,0.004,0.021,0.004
ZFSW113,ZFSW1,C11,0.014,0.069,0.004,0.031,0.007,0.006,0.051,0.025,0.062,0.232,0.046,0.007,0.008,0.023,0.007,0.018,0.02,0.004,0.027,0.008,0.025,0.289,0.008,0.006,0.004
ZFSW114,ZFSW1,C11,0.448,0.013,0.007,0.009,0.014,0.004,0.008,0.008,0.026,0.14,0.086,0.009,0.004,0.01,0.005,0.013,0.005,0.003,0.008,0.004,0.009,0.155,0.004,0.007,0.003
ZFSW115,ZFSW1,C11,0.028,0.006,0.005,0.005,0.004,0.006,0.007,0.005,0.013,0.625,0.1,0.006,0.003,0.008,0.005,0.006,0.004,0.003,0.006,0.004,0.008,0.13,0.005,0.006,0.002
ZFSW116,ZFSW1,C11,0.017,0.028,0.007,0.016,0.076,0.018,0.02,0.01,0.02,0.091,0.113,0.017,0.005,0.126,0.008,0.005,0.008,0.004,0.029,0.01,0.016,0.334,0.007,0.006,0.009
ZFSW117,ZFSW1,C11,0.031,0.016,0.014,0.012,0.047,0.011,0.014,0.017,0.035,0.28,0.051,0.016,0.009,0.05,0.02,0.005,0.028,0.006,0.025,0.005,0.014,0.272,0.007,0.009,0.007
ZFSW119,ZFSW1,C11,0.285,0.048,0.003,0.003,0.012,0.01,0.003,0.003,0.005,0.413,0.009,0.003,0.002,0.005,0.003,0.003,0.002,0.003,0.016,0.003,0.01,0.133,0.005,0.014,0.003
ZFSW120,ZFSW1,C11,0.031,0.127,0.002,0.003,0.121,0.006,0.003,0.003,0.003,0.559,0.003,0.003,0.003,0.003,0.002,0.003,0.002,0.003,0.008,0.003,0.007,0.09,0.003,0.005,0.004
ZFSW121,ZFSW1,C11,0.027,0.044,0.007,0.004,0.018,0.007,0.005,0.005,0.013,0.672,0.029,0.005,0.003,0.014,0.003,0.005,0.003,0.002,0.015,0.003,0.004,0.099,0.003,0.006,0.003
ZFSW122,ZFSW1,C11,0.015,0.055,0.011,0.005,0.032,0.004,0.007,0.012,0.015,0.108,0.009,0.004,0.009,0.004,0.018,0.003,0.01,0.006,0.004,0.003,0.008,0.643,0.004,0.008,0.003
ZFSW123,ZFSW1,C11,0.294,0.061,0.003,0.004,0.043,0.004,0.004,0.004,0.005,0.032,0.012,0.003,0.003,0.005,0.008,0.004,0.003,0.003,0.003,0.004,0.008,0.476,0.005,0.007,0.004
ZFSW124,ZFSW1,C11,0.018,0.139,0.003,0.004,0.009,0.007,0.005,0.006,0.007,0.059,0.014,0.003,0.003,0.005,0.004,0.004,0.003,0.003,0.004,0.004,0.012,0.663,0.004,0.013,0.003
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFSW201,ZFSW2,C1,0.456,0.033,0.003,0.004,0.106,0.008,0.003,0.003,0.003,0.008,0.004,0.003,0.003,0.003,0.003,0.004,0.003,0.004,0.006,0.003,0.011,0.31,0.007,0.005,0.006
ZFSW202,ZFSW2,C1,0.81,0.04,0.003,0.004,0.01,0.007,0.003,0.003,0.003,0.025,0.004,0.005,0.003,0.005,0.003,0.003,0.002,0.003,0.02,0.003,0.004,0.023,0.004,0.006,0.005
ZFSW203,ZFSW2,C1,0.739,0.031,0.003,0.003,0.051,0.007,0.003,0.004,0.004,0.026,0.009,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.005,0.003,0.012,0.053,0.006,0.014,0.005
ZFSW204,ZFSW2,C1,0.827,0.01,0.003,0.003,0.026,0.029,0.004,0.003,0.003,0.01,0.003,0.004,0.003,0.005,0.003,0.003,0.003,0.004,0.006,0.003,0.011,0.013,0.006,0.01,0.006
ZFSW205,ZFSW2,C1,0.811,0.012,0.002,0.007,0.005,0.003,0.007,0.003,0.006,0.006,0.007,0.007,0.005,0.004,0.004,0.01,0.006,0.004,0.004,0.003,0.005,0.068,0.004,0.003,0.003
ZFSW206,ZFSW2,C1,0.919,0.004,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.004,0.004,0.003,0.007,0.005,0.003,0.003,0.003
ZFSW207,ZFSW2,C1,0.825,0.016,0.006,0.003,0.01,0.007,0.003,0.005,0.006,0.009,0.003,0.003,0.008,0.003,0.014,0.003,0.008,0.008,0.004,0.002,0.016,0.025,0.006,0.004,0.002
ZFSW208,ZFSW2,C1,0.854,0.004,0.003,0.004,0.021,0.004,0.003,0.003,0.004,0.008,0.004,0.004,0.004,0.004,0.003,0.004,0.003,0.005,0.006,0.004,0.009,0.03,0.005,0.004,0.003
ZFSW209,ZFSW2,C1,0.812,0.005,0.008,0.004,0.005,0.003,0.003,0.003,0.003,0.048,0.004,0.003,0.004,0.004,0.003,0.004,0.003,0.004,0.004,0.003,0.015,0.007,0.043,0.003,0.003
ZFSW210,ZFSW2,C1,0.841,0.004,0.007,0.005,0.006,0.005,0.006,0.006,0.008,0.004,0.004,0.004,0.014,0.005,0.013,0.004,0.017,0.016,0.006,0.004,0.005,0.006,0.004,0.004,0.003
ZFSW211,ZFSW2,C1,0.89,0.004,0.002,0.005,0.004,0.005,0.005,0.003,0.005,0.005,0.003,0.003,0.005,0.004,0.003,0.005,0.005,0.006,0.006,0.005,0.009,0.007,0.006,0.003,0.003
ZFSW212,ZFSW2,C1,0.91,0.004,0.002,0.004,0.004,0.004,0.003,0.003,0.004,0.004,0.003,0.003,0.004,0.004,0.003,0.004,0.003,0.004,0.005,0.003,0.004,0.008,0.004,0.004,0.002
ZFSW213,ZFSW2,C1,0.915,0.004,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.005,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.005,0.003,0.004,0.006,0.003,0.005,0.002
ZFSW214,ZFSW2,C1,0.898,0.004,0.003,0.003,0.003,0.003,0.004,0.004,0.007,0.006,0.008,0.003,0.003,0.005,0.003,0.005,0.003,0.003,0.004,0.003,0.004,0.006,0.004,0.009,0.002
ZFSW215,ZFSW2,C1,0.818,0.018,0.003,0.004,0.007,0.003,0.005,0.004,0.006,0.013,0.025,0.005,0.003,0.004,0.005,0.005,0.004,0.003,0.004,0.002,0.005,0.041,0.004,0.006,0.004
ZFSW216,ZFSW2,C1,0.906,0.004,0.002,0.004,0.004,0.004,0.004,0.003,0.004,0.004,0.003,0.003,0.004,0.004,0.003,0.005,0.004,0.005,0.005,0.004,0.005,0.006,0.004,0.003,0.002
ZFSW217,ZFSW2,C1,0.869,0.01,0.003,0.004,0.007,0.003,0.003,0.004,0.005,0.006,0.007,0.003,0.003,0.004,0.003,0.005,0.003,0.003,0.005,0.003,0.004,0.027,0.004,0.009,0.003
ZFSW218,ZFSW2,C1,0.922,0.004,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.004,0.003,0.004,0.006,0.003,0.004,0.002
ZFSW219,ZFSW2,C1,0.816,0.006,0.003,0.005,0.01,0.039,0.005,0.003,0.004,0.012,0.004,0.004,0.004,0.006,0.003,0.004,0.004,0.004,0.007,0.004,0.027,0.008,0.007,0.007,0.004
ZFSW220,ZFSW2,C1,0.877,0.006,0.003,0.003,0.013,0.007,0.003,0.003,0.003,0.007,0.004,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.005,0.003,0.012,0.005,0.007,0.005,0.013
ZFSW221,ZFSW2,C1,0.897,0.004,0.003,0.005,0.004,0.005,0.004,0.003,0.004,0.004,0.004,0.003,0.004,0.004,0.003,0.004,0.004,0.005,0.006,0.004,0.008,0.007,0.005,0.004,0.003
ZFSW222,ZFSW2,C1,0.857,0.03,0.002,0.003,0.006,0.003,0.002,0.002,0.003,0.022,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.011,0.002,0.004,0.023,0.003,0.003,0.004
ZFSW223,ZFSW2,C1,0.874,0.005,0.003,0.003,0.011,0.007,0.003,0.003,0.003,0.007,0.004,0.005,0.003,0.005,0.003,0.003,0.002,0.003,0.006,0.003,0.017,0.005,0.007,0.006,0.012
ZFSW224,ZFSW2,C1,0.902,0.003,0.003,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.005,0.003,0.004,0.005,0.003,0.004,0.003,0.004,0.006,0.004,0.007,0.005,0.005,0.004,0.003
ZFSW225,ZFSW2,C1,0.889,0.008,0.002,0.004,0.007,0.004,0.003,0.003,0.003,0.005,0.003,0.003,0.004,0.003,0.003,0.005,0.003,0.004,0.005,0.003,0.006,0.016,0.006,0.003,0.004
ZFSW226,ZFSW2,C1,0.812,0.022,0.006,0.007,0.013,0.003,0.007,0.009,0.008,0.006,0.014,0.005,0.006,0.007,0.011,0.004,0.003,0.005,0.004,0.008,0.005,0.02,0.005,0.004,0.007
ZFSW227,ZFSW2,C1,0.917,0.005,0.002,0.003,0.005,0.004,0.003,0.003,0.003,0.004,0.003,0.002,0.003,0.003,0.002,0.004,0.003,0.003,0.004,0.003,0.004,0.006,0.003,0.003,0.003
ZFSW229,ZFSW2,C1,0.912,0.005,0.002,0.004,0.005,0.004,0.003,0.002,0.003,0.004,0.003,0.003,0.004,0.003,0.003,0.005,0.003,0.004,0.004,0.003,0.005,0.008,0.004,0.003,0.003
ZFSW230,ZFSW2,C1,0.849,0.006,0.003,0.007,0.003,0.004,0.008,0.007,0.013,0.004,0.009,0.008,0.007,0.015,0.004,0.006,0.007,0.003,0.003,0.013,0.003,0.005,0.003,0.005,0.005
ZFSW231,ZFSW2,C1,0.905,0.005,0.002,0.004,0.006,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.004,0.004,0.003,0.004,0.003,0.004,0.005,0.004,0.007,0.007,0.004,0.003,0.003
ZFSW232,ZFSW2,C1,0.7,0.032,0.003,0.005,0.005,0.004,0.005,0.003,0.004,0.023,0.009,0.006,0.003,0.004,0.004,0.005,0.004,0.004,0.012,0.004,0.007,0.144,0.004,0.003,0.004
ZFSW233,ZFSW2,C1,0.771,0.008,0.005,0.006,0.025,0.006,0.007,0.008,0.012,0.029,0.016,0.004,0.004,0.009,0.006,0.008,0.005,0.003,0.007,0.005,0.017,0.019,0.008,0.005,0.007
ZFSW234,ZFSW2,C1,0.919,0.006,0.003,0.002,0.007,0.003,0.002,0.002,0.002,0.004,0.003,0.002,0.002,0.003,0.003,0.003,0.002,0.003,0.004,0.002,0.004,0.007,0.004,0.004,0.004
ZFSW235,ZFSW2,C1,0.869,0.008,0.003,0.005,0.006,0.01,0.003,0.003,0.003,0.005,0.004,0.008,0.004,0.005,0.003,0.005,0.003,0.004,0.008,0.004,0.008,0.01,0.005,0.007,0.005
ZFSW236,ZFSW2,C1,0.922,0.004,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.004,0.003,0.003,0.007,0.003,0.004,0.002
ZFSW237,ZFSW2,C1,0.818,0.01,0.004,0.003,0.008,0.01,0.004,0.004,0.005,0.015,0.01,0.003,0.003,0.005,0.003,0.004,0.003,0.003,0.008,0.003,0.014,0.029,0.005,0.022,0.002
ZFSW238,ZFSW2,C1,0.627,0.013,0.014,0.005,0.015,0.024,0.007,0.005,0.004,0.056,0.009,0.012,0.007,0.007,0.005,0.007,0.005,0.002,0.039,0.002,0.053,0.018,0.022,0.037,0.006
ZFSW239,ZFSW2,C1,0.823,0.009,0.003,0.007,0.027,0.003,0.007,0.006,0.011,0.008,0.006,0.008,0.007,0.011,0.004,0.007,0.007,0.003,0.003,0.011,0.003,0.015,0.003,0.003,0.007
ZFSW240,ZFSW2,C1,0.859,0.016,0.002,0.003,0.023,0.007,0.003,0.002,0.003,0.009,0.003,0.002,0.003,0.003,0.002,0.004,0.003,0.003,0.004,0.003,0.008,0.024,0.004,0.005,0.004
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFTS01,ZFTS,,0.003,0.007,0.004,0.006,0.88,0.003,0.007,0.006,0.008,0.007,0.005,0.004,0.005,0.006,0.006,0.003,0.004,0.003,0.003,0.008,0.006,0.005,0.004,0.002,0.005
ZFTS02,ZFTS,,0.005,0.004,0.005,0.005,0.879,0.012,0.005,0.004,0.004,0.005,0.006,0.007,0.004,0.006,0.005,0.005,0.003,0.003,0.007,0.006,0.004,0.007,0.004,0.004,0.003
ZFTS03,ZFTS,,0.008,0.005,0.004,0.004,0.889,0.008,0.004,0.003,0.003,0.005,0.004,0.005,0.003,0.005,0.004,0.003,0.003,0.003,0.005,0.004,0.005,0.008,0.004,0.005,0.003
ZFTS04,ZFTS,,0.004,0.004,0.003,0.003,0.922,0.005,0.003,0.003,0.002,0.005,0.003,0.004,0.002,0.003,0.002,0.003,0.002,0.002,0.003,0.003,0.004,0.005,0.003,0.003,0.004
ZFTS05,ZFTS,,0.007,0.005,0.003,0.007,0.744,0.101,0.006,0.008,0.004,0.005,0.005,0.005,0.004,0.006,0.005,0.004,0.005,0.004,0.006,0.006,0.009,0.008,0.016,0.006,0.02
ZFTS07,ZFTS,,0.004,0.003,0.002,0.003,0.925,0.004,0.003,0.003,0.002,0.004,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.002,0.004,0.002,0.005,0.004,0.004,0.003,0.006
ZFTS08,ZFTS,,0.009,0.007,0.003,0.003,0.895,0.005,0.003,0.003,0.003,0.006,0.004,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.005,0.004,0.006,0.01,0.005,0.005,0.004
ZFTS09,ZFTS,,0.008,0.006,0.002,0.003,0.908,0.004,0.003,0.003,0.003,0.006,0.002,0.002,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.007,0.006,0.007,0.003,0.007
ZFTS10,ZFTS,,0.01,0.014,0.003,0.007,0.844,0.015,0.004,0.003,0.005,0.005,0.004,0.006,0.006,0.004,0.003,0.008,0.004,0.004,0.005,0.003,0.009,0.023,0.005,0.003,0.003
ZFTS11,ZFTS,,0.006,0.004,0.002,0.003,0.912,0.005,0.003,0.002,0.003,0.007,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.006,0.005,0.005,0.003,0.003
ZFTS12,ZFTS,,0.007,0.004,0.004,0.004,0.881,0.009,0.004,0.004,0.003,0.005,0.004,0.005,0.003,0.005,0.004,0.003,0.004,0.004,0.006,0.004,0.006,0.006,0.006,0.008,0.006
ZFTS14,ZFTS,,0.004,0.003,0.003,0.003,0.91,0.004,0.003,0.004,0.003,0.004,0.004,0.004,0.003,0.004,0.004,0.003,0.003,0.003,0.006,0.003,0.004,0.004,0.004,0.004,0.005
ZFTS15,ZFTS,,0.004,0.004,0.002,0.004,0.908,0.006,0.004,0.003,0.004,0.005,0.003,0.003,0.003,0.004,0.003,0.004,0.004,0.003,0.003,0.004,0.007,0.004,0.004,0.002,0.004
ZFTS16,ZFTS,,0.009,0.046,0.005,0.015,0.72,0.02,0.01,0.009,0.013,0.007,0.011,0.008,0.011,0.008,0.007,0.007,0.004,0.005,0.004,0.01,0.01,0.045,0.006,0.004,0.005
ZFTS17,ZFTS,,0.014,0.014,0.002,0.008,0.844,0.009,0.004,0.003,0.005,0.007,0.004,0.005,0.007,0.004,0.003,0.009,0.005,0.007,0.006,0.004,0.009,0.009,0.008,0.004,0.007
ZFTS18,ZFTS,,0.009,0.005,0.003,0.003,0.898,0.007,0.003,0.003,0.003,0.005,0.004,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.005,0.004,0.005,0.009,0.004,0.005,0.003
ZFTS19,ZFTS,,0.052,0.052,0.002,0.004,0.768,0.006,0.003,0.003,0.003,0.006,0.004,0.004,0.004,0.003,0.003,0.005,0.003,0.004,0.005,0.003,0.005,0.041,0.005,0.005,0.006
ZFTS20,ZFTS,,0.013,0.005,0.003,0.003,0.879,0.008,0.004,0.003,0.003,0.005,0.004,0.004,0.003,0.004,0.003,0.003,0.003,0.004,0.007,0.004,0.007,0.01,0.005,0.007,0.004
ZFTS21,ZFTS,,0.005,0.004,0.003,0.002,0.924,0.004,0.002,0.003,0.002,0.005,0.003,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.004,0.002,0.005,0.005,0.004,0.003,0.005
ZFTS22,ZFTS,,0.008,0.006,0.003,0.003,0.9,0.005,0.003,0.003,0.002,0.006,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.007,0.008,0.006,0.005,0.005
ZFTS23,ZFTS,,0.006,0.004,0.004,0.004,0.891,0.01,0.004,0.004,0.003,0.004,0.004,0.006,0.003,0.006,0.004,0.004,0.003,0.003,0.006,0.005,0.004,0.005,0.004,0.005,0.004
ZFTS24,ZFTS,,0.007,0.006,0.004,0.003,0.895,0.011,0.003,0.003,0.003,0.005,0.003,0.005,0.003,0.004,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.007,0.004,0.006,0.004
ZFTS25,ZFTS,,0.01,0.007,0.002,0.009,0.872,0.003,0.005,0.003,0.007,0.005,0.003,0.004,0.006,0.004,0.003,0.01,0.006,0.005,0.004,0.005,0.007,0.009,0.006,0.002,0.004
ZFTS26,ZFTS,,0.044,0.019,0.002,0.004,0.8,0.003,0.003,0.003,0.003,0.005,0.003,0.003,0.004,0.003,0.002,0.004,0.002,0.003,0.005,0.003,0.004,0.064,0.004,0.003,0.004
ZFTS27,ZFTS,,0.007,0.013,0.004,0.01,0.79,0.022,0.012,0.016,0.007,0.006,0.01,0.005,0.005,0.008,0.009,0.003,0.003,0.003,0.004,0.011,0.007,0.009,0.007,0.004,0.026
ZFTS28,ZFTS,,0.012,0.011,0.006,0.016,0.685,0.034,0.02,0.024,0.012,0.007,0.02,0.009,0.006,0.019,0.014,0.005,0.006,0.005,0.01,0.019,0.009,0.014,0.01,0.007,0.023
ZFTS29,ZFTS,,0.01,0.007,0.002,0.003,0.887,0.01,0.003,0.003,0.002,0.005,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.003,0.004,0.002,0.011,0.01,0.007,0.004,0.01
ZFTS30,ZFTS,,0.008,0.007,0.002,0.003,0.887,0.011,0.003,0.004,0.002,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.008,0.01,0.006,0.003,0.01
ZFTS31,ZFTS,,0.006,0.006,0.003,0.004,0.835,0.054,0.004,0.005,0.004,0.006,0.004,0.005,0.003,0.005,0.004,0.004,0.003,0.003,0.004,0.005,0.005,0.007,0.006,0.006,0.011
ZFTS32,ZFTS,,0.009,0.007,0.003,0.006,0.842,0.021,0.006,0.005,0.006,0.011,0.004,0.004,0.004,0.005,0.003,0.005,0.005,0.003,0.005,0.006,0.012,0.01,0.01,0.004,0.007
ZFTS33,ZFTS,,0.012,0.004,0.003,0.006,0.856,0.008,0.006,0.005,0.006,0.007,0.005,0.005,0.005,0.008,0.003,0.006,0.006,0.004,0.007,0.008,0.009,0.007,0.006,0.004,0.004
ZFTS34,ZFTS,,0.006,0.008,0.006,0.006,0.862,0.004,0.008,0.008,0.007,0.005,0.011,0.005,0.005,0.008,0.008,0.003,0.003,0.003,0.004,0.009,0.004,0.008,0.003,0.003,0.004
ZFTS35,ZFTS,,0.011,0.005,0.004,0.005,0.847,0.016,0.005,0.005,0.004,0.006,0.005,0.005,0.004,0.006,0.005,0.005,0.004,0.004,0.007,0.006,0.009,0.021,0.005,0.005,0.002
ZFTS36,ZFTS,,0.006,0.004,0.004,0.003,0.91,0.005,0.003,0.004,0.003,0.004,0.004,0.004,0.003,0.004,0.004,0.003,0.003,0.003,0.005,0.003,0.004,0.005,0.004,0.004,0.004
ZFTS37,ZFTS,,0.014,0.008,0.003,0.005,0.823,0.027,0.005,0.006,0.005,0.006,0.005,0.004,0.003,0.005,0.004,0.005,0.003,0.003,0.007,0.007,0.006,0.028,0.006,0.006,0.005
ZFTS38,ZFTS,,0.011,0.007,0.002,0.004,0.873,0.015,0.004,0.004,0.003,0.006,0.005,0.004,0.003,0.004,0.003,0.004,0.003,0.003,0.007,0.004,0.008,0.012,0.004,0.004,0.004
ZFTS39,ZFTS,,0.009,0.011,0.007,0.006,0.835,0.004,0.007,0.008,0.006,0.006,0.011,0.005,0.006,0.006,0.01,0.003,0.003,0.005,0.005,0.008,0.007,0.014,0.006,0.005,0.006
