Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per,Fifth_Pop,Fifth_Per
TMA-ZAIN-G-298,/MBC,ONF,4.911,NWS_North,BP,4.365,TS,4.31,CF,4.289,B,4.236
TMA-ZAIN-G-299,/MBC,B,4.98,NWS_North,TS,4.552,ONF,4.468,CR,4.192,ZFI,4.181
TMA-ZAIN-G-301,/MBC,BP,4.676,NWS_North,ONF,4.6,B,4.547,TSP,4.364,CF,4.279
TMA-ZAIN-G-302,/MBC,BP,4.937,NWS_North,ONF,4.781,BP,4.769,B,4.68,ZFFDSP,4.532
TMA-ZAIN-G-303,/MBC,BP,4.604,NWS_North,BP,4.585,B,4.434,WB,4.327,ZFFDSP,4.297
TMA-ZAIN-G-304,/MBC,BP,4.924,NWS_North,B,4.812,ONF,4.712,TSP,4.546,BP,4.47
TMA-ZAIN-G-305,/MBC,ONF,4.672,NWS_North,BP,4.581,B,4.554,CF,4.443,BP,4.43
TMA-ZAIN-G-306,/MBC,TS,4.367,NWS_South,CF,4.333,O,4.307,ONF,4.286,LB,4.269
TMA-ZAIN-G-307,/MSBG,B,4.774,NA,ONF,4.498,BP,4.354,CR,4.277,ZFFDSP,4.22
TMA-ZAIN-G-308,/MSBG,ONF,4.642,NA,BP,4.623,BP,4.553,LB,4.508,B,4.412
TMA-ZAIN-G-309,/MSBG,ONF,4.457,NA,B,4.416,O,4.384,BP,4.335,BP,4.314
TMA-ZAIN-G-310,/MSBG,B,4.794,NA,BP,4.379,ONF,4.36,ZFFDSP,4.265,BP,4.251
TMA-ZAIN-G-311,/MSBG,SF,4.533,NA,TS,4.419,ENP,4.339,SW,4.338,CF,4.337
TMA-ZAIN-G-312,/MSBG,ONF,4.728,NA,BP,4.602,TSP,4.439,BP,4.416,B,4.175
TMA-ZAIN-G-313,/MSBG,B,4.796,NA,BP,4.671,BP,4.658,ZFFDSP,4.445,TSP,4.425
TMA-ZAIN-G-314,/MSBG,ONF,4.972,NA,BP,4.512,B,4.385,CR,4.372,ONF,4.348
TMA-ZAIN-G-315,/MSBG,B,4.978,NA,TS,4.72,CR,4.462,SF,4.446,SW,4.352
TMA-ZAIN-G-316,/MSBG,B,4.455,NA,BP,4.363,ONF,4.341,TS,4.261,SW,4.256
TMA-ZAIN-G-317,/MSBG,WB,5.115,NA,CR,4.885,CF,4.529,ZFI,4.52,ENP,4.49
TMA-ZAIN-G-318,/MSBG,CF,4.889,NA,B,4.697,CR,4.658,ENP,4.654,WB,4.483
