Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0024,/HBG,Magazine,26.786,Pryor,Pryor,25.898,Porter,25.869,Sugar_Loaf,21.446
QAc-G-0025,/USNA,Magazine,27.96,Magazine,Pryor,25.286,Porter,24.167,Sugar_Loaf,22.586
QAc-G-0028,/USNA,Magazine,26.73,Porter,Pryor,26.336,Porter,23.664,Sugar_Loaf,23.271
QAc-G-0029,/AP,Magazine,29.289,Pryor,Porter,25.801,Pryor,23.175,Sugar_Loaf,21.735
QAc-G-0030,/AP,Magazine,26.776,Pryor,Pryor,26.317,Porter,23.871,Sugar_Loaf,23.036
QAc-G-0031,/AP,Pryor,27.884,Pryor,Magazine,25.229,Porter,24.748,Sugar_Loaf,22.138
QAc-G-0032,/DBG,Pryor,26.959,Magazine,Magazine,25.958,Sugar_Loaf,24.455,Porter,22.628
QAc-G-0033,/DBG,Pryor,26.468,Porter,Magazine,26.35,Porter,25.677,Sugar_Loaf,21.505
QAc-G-0034,/DBG,Magazine,27.657,Porter,Pryor,25.567,Porter,24.511,Sugar_Loaf,22.266
QAc-G-0035,/DBG,Pryor,27.047,Porter,Magazine,25.544,Porter,24.604,Sugar_Loaf,22.804
QAc-G-0036,/DBG,Pryor,28.224,Porter,Porter,26.167,Magazine,23.177,Sugar_Loaf,22.432
QAc-G-0037,/DBG,Magazine,26.375,Porter,Pryor,24.877,Sugar_Loaf,24.386,Porter,24.361
QAc-G-0038,/DBG,Magazine,26.11,Porter,Pryor,24.883,Porter,24.555,Sugar_Loaf,24.453
QAc-G-0039,/DBG,Porter,27.8,Porter,Sugar_Loaf,24.957,Magazine,24.31,Pryor,22.933
QAc-G-0040,/DBG,Magazine,27.458,Porter,Porter,24.725,Pryor,24.381,Sugar_Loaf,23.436
QAc-G-0041,/DBG,Pryor,26.852,Porter,Magazine,25.955,Porter,24.218,Sugar_Loaf,22.974
QAc-G-0042,/DBG,Pryor,26.398,Porter,Magazine,25.722,Porter,24.873,Sugar_Loaf,23.007
