Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per,Fifth_Pop,Fifth_Per
TMA-ZAIN-G-56,/MBC,K,8.231,OS,BP,7.862,ENP,7.251,LB,6.793,CF,5.037
TMA-ZAIN-G-57,/MBC,K,6.192,OS,ENP,6.128,O,5.684,CF,5.336,SW,5.164
TMA-ZAIN-G-58,/MBC,ENP,11.704,CR,BP,6.949,CF,5.429,WB,5.079,LB,4.652
TMA-ZAIN-G-59,/MBC,TS,6.43,NWS_North,B,5.699,O,5.243,SW,5.151,WB,4.873
TMA-ZAIN-G-60,/MBC,ENP,8.959,NWS_North,CNS,6.082,WB,5.474,TSP,4.698,TSP,4.658
TMA-ZAIN-G-61,/MBC,B,6.298,NWS_North,TS,5.963,SW,5.915,O,5.778,CC,5.224
TMA-ZAIN-G-62,/MBC,BP,5.415,NWS_North,ONF,5.405,BP,5.063,CC,4.861,LTI,4.805
TMA-ZAIN-G-63,/MBC,B,8.815,NWS_North,SW,7.59,TS,6.126,K,5.82,CF,4.999
TMA-ZAIN-G-64,/MBC,ONF,10.66,ONF,BP,5.963,ZFFDSP,5.949,BP,5.618,LTI,5.36
TMA-ZAIN-G-65,/MBC,ONF,7.001,ONF,ENP,5.537,CC,5.377,WB,5.377,LTI,5.376
TMA-ZAIN-G-66,/MBC,ONF,8.689,ONF,BP,5.837,LTI,5.756,ZFFDSP,5.491,BP,5.463
TMA-ZAIN-G-67,/MBC,ONF,9.432,ONF,BP,6.714,BP,6.593,ZFFDSP,6.428,LTI,5.041
TMA-ZAIN-G-68,/MBC,ONF,6.204,ONF,LTI,5.006,CC,4.927,BP,4.919,BP,4.751
TMA-ZAIN-G-69,/MBC,ONF,5.339,ONF,BP,5.229,BP,5.157,CC,5.068,ENP,4.805
TMA-ZAIN-G-70,/MBC,BP,7.697,ONF,ZFFDSP,7.638,BP,6.915,ONF,6.766,ONF,5.193
TMA-ZAIN-G-71,/MBC,LB,7.135,ONF,K,6.306,ENP,6.176,BP,5.769,BP,5.248
TMA-ZAIN-G-72,/MBC,WB,7.82,ONF,BP,5.74,ONF,5.269,BP,5.094,SW,4.803
TMA-ZAIN-G-73,/MBC,K,7.042,ONF,ENP,6.609,CF,5.924,LB,4.902,ZFCR,4.745
TMA-ZAIN-G-74,/MBC,BP,6.78,ONF,BP,5.613,ENP,5.523,ONF,5.292,CF,5.111
TMA-ZAIN-G-75,/MBC,ENP,7.244,ONF,WB,5.436,CF,5.001,BP,4.662,ONF,4.619
TMA-ZAIN-G-76,/MBC,BP,5.923,ONF,ENP,5.809,BP,5.1,TSP,5.01,ZFFDSP,4.852
TMA-ZAIN-G-77,/MBC,K,10.263,ONF,LB,6.134,ENP,5.475,CF,5.218,SW,4.572
TMA-ZAIN-G-78,/MBC,K,6.54,ONF,ENP,5.991,CF,5.349,O,4.686,SW,4.683
TMA-ZAIN-G-79,/MBC,K,10.174,ONF,LB,7.009,ENP,5.349,CF,5.273,BP,4.743
TMA-ZAIN-G-80,/MBC,BP,6.807,ONF,ENP,6.267,ZFFDSP,5.95,BP,5.472,TSP,5.357
TMA-ZAIN-G-81,/MBC,LB,8.129,ONF,K,8.068,BP,7.127,ENP,7.047,CF,5.377
TMA-ZAIN-G-82,/MBC,ENP,5.895,ONF,BP,5.821,ONF,5.469,BP,5.286,WB,5.201
TMA-ZAIN-G-83,/MBC,BP,6.494,ONF,TS,6.125,BP,5.795,WB,5.334,ZFFDSP,5.041
TMA-ZAIN-G-84,/MBC,LB,8.849,ONF,K,7.622,BP,6.725,ENP,5.823,CF,5.221
TMA-ZAIN-G-85,/MBC,K,10.24,K,LB,6.147,ENP,5.503,SW,4.917,CF,4.693
TMA-ZAIN-G-86,/MBC,K,11.725,K,LB,7.607,ENP,5.162,BP,5.045,CF,4.675
TMA-ZAIN-G-87,/MBC,K,10.304,K,SW,5.915,LB,5.506,TS,5.257,B,5.141
TMA-ZAIN-G-88,/MBC,K,6.117,NWS_South,ENP,5.63,LB,5.024,CC,4.943,O,4.811
TMA-ZAIN-G-89,/MBC,CC,5.899,NWS_South,K,5.213,ENP,5.15,LB,4.968,O,4.876
TMA-ZAIN-G-90,/MBC,K,8.11,NWS_South,BP,7.505,ENP,7.24,LB,6.96,CF,4.883
TMA-ZAIN-G-91,/MBC,ENP,7.391,NWS_South,LB,5.387,O,5.144,CC,5.136,BP,5.134
TMA-ZAIN-G-92,/MBC,ENP,10.449,NWS_South,LB,5.687,BP,5.301,K,5.201,O,5.183
TMA-ZAIN-G-93,/MBC,CNS,7.155,NWS_South,CC,6.441,ENP,6.108,O,5.237,WB,4.919
TMA-ZAIN-G-94,/MBC,K,6.598,NWS_South,ENP,6.103,O,5.797,SW,5.243,LB,5.101
TMA-ZAIN-G-95,/MBC,WB,7.914,WB,ENP,7.429,BP,4.723,SW,4.683,TSP,4.666
TMA-ZAIN-G-96,/MBC,ENP,10.132,WB,WB,5.763,CF,5.333,O,4.466,BP,4.417
TMA-ZAIN-G-97,/MBC,ZFCR,7.471,W,ZFW,7.215,CF,7.011,ENP,6.224,LTI,4.574
TMA-ZAIN-G-98,/MBC,ZFW,7.302,W,ZFCR,6.365,B,6.357,ZFSF,6.07,ZFI,5.902
TMA-ZAIN-G-99,/MBC,ZFW,5.445,W,ZFSF,5.242,CC,4.819,LTI,4.81,ONF,4.76
