Ind,Population,C1,C2,C3,C4,C5,C6,C7,C8,C9
QAc-G-0206,TMA,13,0.003,0.004,0.005,0.007,0.044,0.015,0.133,0.023
QAc-G-0207,TMA,13,0.007,0.005,0.004,0.012,0.004,0.006,0.008,0.006
QAc-G-0208,TMA,13,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003
QAc-G-0209,TMA,13,0.006,0.002,0.005,0.004,0.002,0.003,0.003,0.003
QAc-G-0210,TMA,13,0.003,0.002,0.003,0.003,0.004,0.003,0.004,0.003
QAc-G-0211,TMA,13,0.002,0.004,0.003,0.004,0.004,0.003,0.004,0.002
QAc-G-0212,TMA,13,0.004,0.003,0.003,0.003,0.002,0.003,0.003,0.004
QAc-G-0213,TMA,13,0.005,0.003,0.004,0.004,0.003,0.006,0.004,0.005
QAc-G-0214,TMA,13,0.004,0.002,0.004,0.002,0.002,0.003,0.003,0.003
QAc-G-0215,TMA,13,0.003,0.003,0.003,0.004,0.003,0.005,0.004,0.003
QAc-G-0216,TMA,13,0.017,0.004,0.425,0.006,0.129,0.038,0.259,0.011
QAc-G-0217,TMA,13,0.003,0.012,0.014,0.008,0.007,0.005,0.007,0.005
QAc-G-0218,TMA,13,0.005,0.005,0.004,0.008,0.003,0.008,0.005,0.006
QAc-G-0219,TMA,13,0.009,0.019,0.005,0.009,0.027,0.009,0.033,0.037
QAc-G-0220,TMA,13,0.003,0.005,0.003,0.006,0.005,0.007,0.082,0.006
QAc-G-0221,TMA,13,0.005,0.013,0.024,0.033,0.007,0.01,0.01,0.012
QAc-G-0222,TMA,13,0.004,0.002,0.003,0.003,0.002,0.004,0.003,0.003
QAc-G-0223,TMA,13,0.003,0.004,0.003,0.006,0.003,0.005,0.004,0.004
QAc-G-0224,TMA,13,0.005,0.003,0.003,0.006,0.003,0.003,0.004,0.003
QAc-G-0226,TMA,13,0.003,0.003,0.003,0.003,0.003,0.005,0.003,0.004
QAc-G-0227,TMA,13,0.005,0.012,0.005,0.004,0.004,0.008,0.005,0.952
QAc-G-0228,TMA,13,0.004,0.003,0.004,0.005,0.003,0.005,0.004,0.967
QAc-G-0229,TMA,13,0.006,0.004,0.009,0.018,0.013,0.023,0.013,0.908
QAc-G-0230,TMA,13,0.008,0.003,0.008,0.006,0.01,0.831,0.008,0.109
QAc-G-0231,TMA,13,0.008,0.004,0.003,0.003,0.003,0.003,0.004,0.003
QAc-G-0232,TMA,13,0.003,0.008,0.002,0.009,0.004,0.024,0.006,0.94
QAc-G-0233,TMA,13,0.005,0.005,0.005,0.149,0.003,0.62,0.163,0.021
QAc-G-0234,TMA,13,0.013,0.006,0.021,0.015,0.004,0.093,0.007,0.834
QAc-G-0235,TMA,13,0.004,0.003,0.025,0.009,0.917,0.007,0.02,0.006
QAc-G-0236,TMA,13,0.005,0.007,0.005,0.004,0.003,0.005,0.004,0.963
QAc-G-0237,TMA,13,0.014,0.016,0.006,0.014,0.011,0.031,0.008,0.879
QAc-G-0238,TMA,13,0.005,0.003,0.004,0.004,0.003,0.012,0.004,0.957
QAc-G-0239,TMA,13,0.004,0.003,0.003,0.004,0.003,0.009,0.006,0.964
QAc-G-0240,TMA,13,0.003,0.005,0.003,0.005,0.005,0.006,0.004,0.966
QAc-G-0241,TMA,13,0.009,0.007,0.04,0.031,0.029,0.184,0.057,0.633
QAc-G-0242,TMA,13,0.004,0.01,0.004,0.011,0.003,0.906,0.009,0.042
QAc-G-0243,TMA,13,0.003,0.057,0.009,0.128,0.011,0.476,0.094,0.199
QAc-G-0244,TMA,13,0.005,0.004,0.006,0.005,0.012,0.008,0.014,0.936
QAc-G-0245,TMA,13,0.005,0.016,0.006,0.006,0.005,0.016,0.005,0.937
QAc-G-0246,TMA,13,0.005,0.005,0.003,0.004,0.004,0.005,0.004,0.965
QAc-G-0247,TMA,13,0.002,0.003,0.003,0.004,0.003,0.004,0.004,0.974
QAc-G-0248,TMA,13,0.003,0.003,0.003,0.004,0.006,0.546,0.007,0.425
QAc-G-0249,TTA,14,0.012,0.002,0.008,0.909,0.009,0.026,0.019,0.006
QAc-G-0025,USNA,15,0.004,0.003,0.003,0.003,0.003,0.004,0.003,0.004
QAc-G-0028,USNA,15,0.006,0.004,0.005,0.085,0.003,0.431,0.027,0.412
QAc-G-0275,UWBG,16,0.013,0.002,0.004,0.003,0.004,0.004,0.005,0.006
QAc-G-0263,ZBGP,17,0.012,0.006,0.477,0.152,0.011,0.006,0.314,0.004
QAc-W-0001,Porter,18,0.002,0.017,0.003,0.004,0.006,0.952,0.004,0.008
QAc-W-0002,Porter,18,0.02,0.003,0.007,0.021,0.028,0.047,0.019,0.852
QAc-W-0003,Porter,18,0.007,0.008,0.038,0.005,0.016,0.882,0.012,0.009
QAc-W-0004,Porter,18,0.005,0.004,0.003,0.004,0.003,0.962,0.004,0.009
