Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
ZFB14,Bronson,0.005,0.005,0.008,0.008,0.007,0.777,0.005,0.007,0.004,0.005,0.01,0.004,0.006,0.006,0.004,0.008,0.006,0.005,0.004,0.005,0.059,0.007,0.008,0.004,0.033
ZFB15,Bronson,0.004,0.002,0.007,0.003,0.004,0.919,0.002,0.002,0.004,0.002,0.002,0.002,0.002,0.003,0.002,0.004,0.01,0.002,0.003,0.004,0.005,0.002,0.002,0.002,0.007
ZFB16,Bronson,0.005,0.002,0.005,0.01,0.007,0.862,0.005,0.007,0.003,0.004,0.003,0.003,0.005,0.004,0.004,0.006,0.011,0.006,0.004,0.01,0.01,0.006,0.007,0.004,0.008
ZFB17,Bronson,0.01,0.008,0.005,0.014,0.01,0.82,0.005,0.005,0.011,0.002,0.005,0.002,0.01,0.009,0.005,0.007,0.007,0.008,0.005,0.021,0.007,0.005,0.005,0.005,0.006
ZFB18,Bronson,0.002,0.003,0.003,0.002,0.004,0.929,0.003,0.003,0.002,0.003,0.004,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.005,0.003,0.004,0.002,0.004
ZFB19,Bronson,0.027,0.003,0.028,0.005,0.182,0.376,0.014,0.031,0.004,0.007,0.004,0.005,0.026,0.019,0.01,0.039,0.009,0.012,0.022,0.022,0.032,0.028,0.049,0.007,0.039
ZFB20,Bronson,0.004,0.003,0.004,0.014,0.007,0.866,0.005,0.005,0.008,0.003,0.002,0.002,0.006,0.004,0.004,0.006,0.013,0.006,0.004,0.01,0.007,0.005,0.005,0.004,0.005
ZFB21,Bronson,0.004,0.003,0.007,0.004,0.003,0.912,0.003,0.003,0.004,0.003,0.003,0.004,0.002,0.003,0.002,0.006,0.005,0.002,0.005,0.003,0.003,0.003,0.003,0.002,0.01
ZFB22,Bronson,0.006,0.005,0.004,0.004,0.007,0.779,0.004,0.005,0.009,0.003,0.005,0.002,0.006,0.008,0.005,0.005,0.069,0.006,0.007,0.007,0.02,0.005,0.005,0.005,0.017
ZFB23,Bronson,0.002,0.002,0.003,0.004,0.005,0.893,0.003,0.004,0.008,0.003,0.003,0.009,0.003,0.01,0.005,0.003,0.004,0.005,0.004,0.003,0.004,0.004,0.004,0.002,0.012
ZFB24,Bronson,0.003,0.003,0.004,0.004,0.003,0.919,0.002,0.004,0.006,0.003,0.003,0.002,0.003,0.004,0.002,0.003,0.006,0.003,0.003,0.003,0.004,0.004,0.004,0.002,0.004
ZFB25,Bronson,0.003,0.003,0.003,0.003,0.003,0.889,0.004,0.007,0.003,0.003,0.004,0.003,0.006,0.007,0.004,0.003,0.003,0.005,0.003,0.003,0.006,0.007,0.016,0.003,0.007
ZFB26,Bronson,0.003,0.003,0.004,0.007,0.003,0.893,0.003,0.006,0.009,0.003,0.004,0.003,0.005,0.005,0.004,0.003,0.005,0.005,0.004,0.003,0.003,0.007,0.007,0.003,0.005
ZFB27,Bronson,0.002,0.003,0.004,0.002,0.003,0.914,0.003,0.003,0.013,0.003,0.003,0.002,0.003,0.004,0.002,0.003,0.004,0.003,0.003,0.002,0.005,0.003,0.005,0.002,0.006
ZFB28,Bronson,0.013,0.005,0.004,0.009,0.013,0.673,0.004,0.01,0.072,0.004,0.007,0.009,0.006,0.019,0.007,0.018,0.008,0.007,0.016,0.009,0.021,0.006,0.005,0.002,0.054
ZFB29,Bronson,0.002,0.003,0.003,0.006,0.004,0.923,0.002,0.003,0.004,0.002,0.004,0.002,0.002,0.002,0.002,0.004,0.005,0.002,0.003,0.003,0.006,0.003,0.003,0.002,0.004
ZFB30,Bronson,0.019,0.003,0.025,0.004,0.007,0.721,0.003,0.003,0.038,0.003,0.003,0.006,0.003,0.004,0.006,0.03,0.006,0.003,0.065,0.017,0.004,0.004,0.003,0.013,0.006
ZFB31,Bronson,0.004,0.004,0.008,0.005,0.01,0.572,0.008,0.019,0.008,0.006,0.008,0.004,0.014,0.016,0.005,0.007,0.006,0.007,0.005,0.004,0.097,0.015,0.054,0.004,0.109
ZFB32,Bronson,0.019,0.017,0.008,0.019,0.013,0.617,0.005,0.014,0.03,0.006,0.01,0.015,0.009,0.035,0.01,0.015,0.01,0.017,0.015,0.033,0.016,0.012,0.006,0.003,0.046
ZFB33,Bronson,0.003,0.003,0.006,0.003,0.004,0.923,0.002,0.003,0.003,0.002,0.003,0.002,0.002,0.003,0.002,0.004,0.007,0.003,0.003,0.003,0.004,0.003,0.002,0.002,0.007
ZFB34,Bronson,0.008,0.009,0.042,0.006,0.009,0.757,0.006,0.005,0.003,0.004,0.01,0.005,0.004,0.005,0.003,0.01,0.007,0.005,0.006,0.006,0.017,0.005,0.007,0.004,0.058
ZFB35,Bronson,0.008,0.007,0.03,0.009,0.006,0.764,0.005,0.007,0.005,0.005,0.007,0.006,0.006,0.008,0.005,0.009,0.016,0.007,0.005,0.007,0.012,0.008,0.007,0.004,0.047
,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFCC01,Cayo Costa,0.004,0.89,0.012,0.006,0.003,0.005,0.004,0.003,0.004,0.003,0.009,0.005,0.004,0.004,0.003,0.003,0.005,0.005,0.004,0.005,0.006,0.003,0.003,0.003,0.005
ZFCC03,Cayo Costa,0.003,0.898,0.005,0.004,0.003,0.003,0.005,0.003,0.002,0.003,0.017,0.01,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.005,0.003,0.004,0.003,0.003
ZFCC04,Cayo Costa,0.005,0.843,0.005,0.021,0.004,0.007,0.004,0.003,0.003,0.003,0.032,0.006,0.004,0.004,0.004,0.007,0.005,0.005,0.005,0.006,0.009,0.003,0.003,0.005,0.007
ZFCC05,Cayo Costa,0.01,0.726,0.01,0.065,0.004,0.007,0.007,0.005,0.004,0.004,0.046,0.013,0.008,0.008,0.006,0.013,0.006,0.009,0.005,0.008,0.011,0.006,0.004,0.006,0.011
ZFCC08,Cayo Costa,0.007,0.788,0.008,0.01,0.004,0.002,0.029,0.007,0.002,0.013,0.021,0.005,0.015,0.006,0.007,0.003,0.003,0.016,0.003,0.008,0.006,0.007,0.007,0.017,0.002
ZFCC09,Cayo Costa,0.003,0.897,0.009,0.005,0.003,0.003,0.006,0.003,0.003,0.006,0.015,0.009,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003
ZFCC10,Cayo Costa,0.003,0.889,0.023,0.006,0.003,0.003,0.004,0.003,0.003,0.005,0.006,0.004,0.004,0.003,0.002,0.004,0.004,0.005,0.003,0.003,0.007,0.003,0.003,0.003,0.004
ZFCC11,Cayo Costa,0.005,0.881,0.009,0.007,0.003,0.003,0.005,0.004,0.003,0.003,0.011,0.011,0.004,0.004,0.004,0.004,0.003,0.006,0.003,0.004,0.006,0.004,0.004,0.004,0.004
ZFCC12,Cayo Costa,0.01,0.556,0.01,0.031,0.012,0.004,0.012,0.008,0.004,0.003,0.077,0.01,0.011,0.007,0.009,0.02,0.122,0.008,0.01,0.01,0.037,0.008,0.007,0.005,0.009
ZFCC13,Cayo Costa,0.014,0.737,0.005,0.006,0.004,0.004,0.01,0.013,0.013,0.004,0.059,0.008,0.015,0.016,0.014,0.006,0.004,0.017,0.004,0.01,0.004,0.013,0.008,0.006,0.004
ZFCC14,Cayo Costa,0.004,0.543,0.009,0.05,0.008,0.02,0.004,0.01,0.008,0.008,0.197,0.005,0.01,0.005,0.004,0.008,0.005,0.021,0.006,0.005,0.033,0.01,0.011,0.009,0.007
ZFCC15,Cayo Costa,0.009,0.831,0.005,0.005,0.005,0.003,0.004,0.004,0.005,0.003,0.063,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.004,0.007,0.005,0.004,0.003,0.003,0.004
ZFCC16,Cayo Costa,0.004,0.877,0.005,0.014,0.005,0.004,0.003,0.003,0.003,0.003,0.022,0.004,0.004,0.003,0.003,0.005,0.006,0.004,0.003,0.005,0.006,0.003,0.003,0.004,0.005
ZFCC17,Cayo Costa,0.004,0.73,0.006,0.061,0.004,0.006,0.003,0.003,0.009,0.003,0.104,0.006,0.003,0.003,0.003,0.005,0.012,0.003,0.007,0.004,0.005,0.003,0.002,0.004,0.006
ZFCC18,Cayo Costa,0.004,0.894,0.007,0.007,0.003,0.003,0.004,0.003,0.003,0.003,0.011,0.008,0.004,0.004,0.003,0.004,0.004,0.005,0.003,0.004,0.005,0.004,0.003,0.004,0.004
ZFCC19,Cayo Costa,0.007,0.859,0.003,0.014,0.008,0.004,0.003,0.003,0.012,0.002,0.023,0.003,0.003,0.004,0.004,0.006,0.008,0.004,0.007,0.007,0.004,0.003,0.002,0.003,0.006
ZFCC20,Cayo Costa,0.01,0.408,0.004,0.012,0.004,0.004,0.009,0.004,0.003,0.003,0.465,0.009,0.005,0.007,0.006,0.005,0.006,0.004,0.004,0.008,0.004,0.004,0.004,0.006,0.005
ZFCC21,Cayo Costa,0.025,0.523,0.005,0.008,0.028,0.003,0.012,0.016,0.006,0.004,0.012,0.003,0.048,0.013,0.012,0.006,0.004,0.18,0.004,0.025,0.006,0.018,0.016,0.013,0.009
ZFCC22,Cayo Costa,0.006,0.326,0.019,0.007,0.005,0.003,0.088,0.027,0.006,0.012,0.032,0.006,0.207,0.038,0.018,0.004,0.004,0.114,0.003,0.008,0.006,0.026,0.013,0.017,0.003
ZFCC26,Cayo Costa,0.004,0.8,0.005,0.011,0.005,0.004,0.004,0.003,0.003,0.003,0.101,0.005,0.004,0.003,0.003,0.005,0.006,0.004,0.003,0.005,0.006,0.003,0.003,0.004,0.005
ZFCC27,Cayo Costa,0.003,0.899,0.004,0.005,0.003,0.003,0.005,0.003,0.003,0.003,0.021,0.007,0.004,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003
ZFCC29,Cayo Costa,0.008,0.831,0.006,0.017,0.008,0.004,0.005,0.005,0.003,0.003,0.026,0.004,0.005,0.006,0.005,0.006,0.007,0.004,0.004,0.01,0.005,0.004,0.003,0.004,0.016
ZFCC30,Cayo Costa,0.004,0.903,0.003,0.006,0.003,0.002,0.004,0.003,0.003,0.003,0.013,0.009,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.004,0.003
ZFCC32,Cayo Costa,0.012,0.859,0.007,0.01,0.004,0.003,0.005,0.003,0.005,0.004,0.016,0.005,0.004,0.004,0.005,0.006,0.009,0.003,0.005,0.01,0.004,0.003,0.003,0.004,0.004
ZFCC33,Cayo Costa,0.005,0.348,0.004,0.373,0.006,0.009,0.005,0.004,0.004,0.003,0.147,0.008,0.005,0.003,0.004,0.021,0.004,0.004,0.005,0.004,0.011,0.004,0.004,0.004,0.009
ZFCC34,Cayo Costa,0.005,0.273,0.021,0.037,0.005,0.02,0.016,0.063,0.007,0.023,0.216,0.042,0.057,0.022,0.016,0.005,0.022,0.027,0.005,0.01,0.009,0.055,0.02,0.012,0.013
ZFCC35,Cayo Costa,0.003,0.895,0.004,0.009,0.003,0.002,0.006,0.003,0.006,0.006,0.02,0.004,0.004,0.003,0.003,0.003,0.002,0.003,0.004,0.003,0.002,0.003,0.002,0.004,0.002
ZFCC36,Cayo Costa,0.013,0.786,0.004,0.008,0.005,0.004,0.006,0.011,0.018,0.004,0.014,0.004,0.016,0.012,0.012,0.005,0.006,0.019,0.005,0.015,0.003,0.011,0.007,0.008,0.003
ZFCC37,Cayo Costa,0.012,0.549,0.016,0.026,0.013,0.004,0.012,0.013,0.004,0.005,0.076,0.008,0.029,0.01,0.011,0.015,0.086,0.011,0.01,0.015,0.04,0.011,0.008,0.005,0.009
ZFCC40,Cayo Costa,0.003,0.832,0.007,0.016,0.004,0.007,0.005,0.007,0.021,0.004,0.013,0.003,0.008,0.005,0.004,0.004,0.005,0.014,0.005,0.003,0.007,0.008,0.009,0.004,0.003
ZFCC42,Cayo Costa,0.006,0.079,0.004,0.42,0.012,0.009,0.004,0.005,0.063,0.005,0.017,0.041,0.007,0.014,0.009,0.012,0.164,0.005,0.04,0.005,0.011,0.004,0.002,0.007,0.057
ZFCC44,Cayo Costa,0.003,0.224,0.003,0.013,0.003,0.003,0.004,0.003,0.006,0.003,0.689,0.009,0.003,0.003,0.003,0.003,0.002,0.002,0.005,0.002,0.003,0.003,0.003,0.003,0.003
ZFCC45,Cayo Costa,0.011,0.56,0.02,0.078,0.007,0.011,0.005,0.006,0.018,0.003,0.131,0.01,0.004,0.004,0.005,0.021,0.013,0.009,0.023,0.007,0.029,0.006,0.004,0.004,0.01
ZFCC46,Cayo Costa,0.005,0.738,0.002,0.011,0.006,0.002,0.024,0.015,0.004,0.008,0.012,0.008,0.038,0.016,0.021,0.003,0.003,0.016,0.003,0.007,0.003,0.015,0.011,0.025,0.004
ZFCC47,Cayo Costa,0.004,0.816,0.009,0.006,0.003,0.003,0.008,0.004,0.003,0.007,0.015,0.005,0.008,0.004,0.004,0.004,0.048,0.004,0.004,0.006,0.015,0.003,0.003,0.006,0.008
ZFCC48,Cayo Costa,0.007,0.635,0.004,0.01,0.011,0.003,0.015,0.016,0.003,0.006,0.011,0.003,0.066,0.012,0.01,0.004,0.003,0.105,0.003,0.01,0.006,0.017,0.018,0.018,0.006
ZFCC50,Cayo Costa,0.004,0.33,0.005,0.011,0.004,0.005,0.004,0.003,0.004,0.002,0.581,0.003,0.003,0.003,0.003,0.003,0.006,0.003,0.004,0.004,0.004,0.003,0.002,0.003,0.004
ZFCC51,Cayo Costa,0.003,0.534,0.005,0.004,0.003,0.003,0.005,0.003,0.002,0.003,0.383,0.011,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.004,0.004
ZFCC52,Cayo Costa,0.005,0.732,0.004,0.022,0.005,0.004,0.013,0.02,0.006,0.008,0.01,0.005,0.044,0.011,0.01,0.004,0.006,0.025,0.004,0.009,0.005,0.019,0.015,0.011,0.004
ZFCC53,Cayo Costa,0.003,0.911,0.004,0.005,0.003,0.003,0.003,0.002,0.002,0.003,0.017,0.006,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.002,0.004,0.003,0.003,0.003,0.003
,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFCR01,Crystal River,0.01,0.008,0.021,0.003,0.345,0.008,0.003,0.012,0.006,0.008,0.009,0.003,0.008,0.005,0.004,0.206,0.032,0.039,0.05,0.004,0.184,0.013,0.006,0.008,0.006
ZFCR02,Crystal River,0.005,0.02,0.005,0.009,0.79,0.03,0.003,0.01,0.007,0.016,0.009,0.004,0.01,0.005,0.003,0.017,0.007,0.01,0.006,0.006,0.007,0.01,0.003,0.006,0.005
ZFCR03,Crystal River,0.009,0.021,0.019,0.052,0.471,0.019,0.004,0.018,0.027,0.009,0.007,0.003,0.016,0.006,0.005,0.007,0.046,0.071,0.017,0.03,0.071,0.021,0.009,0.009,0.032
ZFCR04,Crystal River,0.013,0.013,0.047,0.005,0.487,0.018,0.006,0.01,0.021,0.008,0.007,0.008,0.01,0.025,0.023,0.053,0.017,0.007,0.017,0.007,0.01,0.007,0.02,0.013,0.147
ZFCR05,Crystal River,0.012,0.008,0.016,0.004,0.76,0.015,0.004,0.004,0.006,0.003,0.017,0.003,0.004,0.003,0.003,0.035,0.009,0.003,0.014,0.016,0.043,0.004,0.003,0.004,0.008
ZFCR06,Crystal River,0.007,0.01,0.009,0.006,0.564,0.011,0.005,0.021,0.003,0.036,0.031,0.048,0.005,0.033,0.024,0.024,0.009,0.014,0.013,0.005,0.06,0.015,0.014,0.009,0.023
ZFCR07,Crystal River,0.139,0.009,0.009,0.044,0.237,0.005,0.019,0.012,0.006,0.003,0.009,0.032,0.011,0.02,0.033,0.165,0.014,0.011,0.011,0.05,0.009,0.012,0.01,0.003,0.126
ZFCR08,Crystal River,0.013,0.028,0.049,0.03,0.091,0.026,0.008,0.023,0.023,0.004,0.049,0.004,0.026,0.009,0.009,0.363,0.032,0.019,0.076,0.006,0.03,0.019,0.014,0.041,0.007
ZFCR09,Crystal River,0.015,0.014,0.007,0.015,0.047,0.013,0.011,0.044,0.1,0.024,0.035,0.014,0.037,0.04,0.02,0.011,0.173,0.019,0.045,0.016,0.157,0.028,0.012,0.014,0.091
ZFCR11,Crystal River,0.017,0.006,0.014,0.004,0.683,0.013,0.005,0.004,0.005,0.018,0.013,0.008,0.004,0.013,0.049,0.034,0.013,0.005,0.011,0.014,0.04,0.004,0.004,0.002,0.019
ZFCR12,Crystal River,0.017,0.007,0.004,0.007,0.677,0.003,0.012,0.008,0.003,0.01,0.007,0.069,0.009,0.034,0.041,0.007,0.003,0.004,0.005,0.013,0.014,0.006,0.018,0.013,0.01
ZFCR13,Crystal River,0.373,0.009,0.006,0.006,0.171,0.005,0.008,0.026,0.003,0.018,0.004,0.005,0.008,0.011,0.006,0.062,0.003,0.008,0.054,0.043,0.004,0.037,0.061,0.004,0.061
ZFCR14,Crystal River,0.011,0.007,0.011,0.004,0.821,0.018,0.01,0.005,0.004,0.004,0.007,0.005,0.007,0.007,0.005,0.01,0.004,0.005,0.006,0.017,0.006,0.005,0.009,0.006,0.006
ZFCR15,Crystal River,0.021,0.01,0.016,0.009,0.672,0.015,0.012,0.012,0.006,0.006,0.007,0.004,0.024,0.015,0.007,0.038,0.005,0.011,0.019,0.012,0.009,0.012,0.014,0.013,0.032
ZFCR16,Crystal River,0.009,0.006,0.007,0.004,0.738,0.033,0.004,0.016,0.003,0.011,0.011,0.003,0.014,0.01,0.005,0.021,0.005,0.027,0.016,0.009,0.01,0.016,0.005,0.013,0.005
ZFCR18,Crystal River,0.006,0.008,0.008,0.022,0.265,0.407,0.006,0.013,0.003,0.017,0.016,0.005,0.022,0.004,0.004,0.034,0.005,0.003,0.007,0.01,0.082,0.015,0.004,0.005,0.028
ZFCR19,Crystal River,0.005,0.007,0.005,0.005,0.624,0.055,0.008,0.013,0.003,0.011,0.014,0.005,0.013,0.01,0.007,0.006,0.075,0.007,0.007,0.012,0.017,0.012,0.023,0.048,0.01
ZFCR20,Crystal River,0.05,0.005,0.022,0.021,0.057,0.05,0.006,0.025,0.004,0.005,0.005,0.004,0.012,0.007,0.008,0.053,0.027,0.049,0.022,0.132,0.378,0.026,0.017,0.006,0.007
ZFCR21,Crystal River,0.012,0.01,0.004,0.007,0.824,0.004,0.007,0.005,0.003,0.004,0.01,0.003,0.009,0.006,0.005,0.007,0.003,0.005,0.009,0.016,0.019,0.004,0.005,0.007,0.01
ZFCR22,Crystal River,0.009,0.005,0.002,0.008,0.81,0.01,0.004,0.006,0.003,0.005,0.004,0.002,0.007,0.005,0.006,0.004,0.005,0.007,0.009,0.06,0.005,0.006,0.005,0.01,0.004
ZFCR23,Crystal River,0.037,0.002,0.004,0.003,0.451,0.015,0.005,0.076,0.025,0.005,0.004,0.004,0.031,0.021,0.019,0.014,0.011,0.012,0.09,0.03,0.015,0.078,0.036,0.004,0.006
ZFCR24,Crystal River,0.043,0.008,0.04,0.008,0.029,0.049,0.009,0.077,0.004,0.009,0.005,0.004,0.025,0.019,0.006,0.012,0.033,0.061,0.088,0.063,0.025,0.138,0.199,0.005,0.04
ZFCR25,Crystal River,0.008,0.004,0.009,0.006,0.867,0.006,0.005,0.004,0.002,0.003,0.005,0.003,0.004,0.004,0.005,0.005,0.009,0.004,0.009,0.012,0.007,0.004,0.004,0.003,0.009
ZFCR26,Crystal River,0.046,0.011,0.009,0.006,0.472,0.003,0.01,0.009,0.003,0.009,0.017,0.004,0.012,0.005,0.008,0.01,0.079,0.008,0.011,0.223,0.012,0.01,0.007,0.012,0.004
ZFCR27,Crystal River,0.088,0.004,0.013,0.003,0.307,0.007,0.003,0.003,0.004,0.003,0.007,0.003,0.003,0.003,0.003,0.108,0.075,0.003,0.214,0.012,0.108,0.003,0.004,0.003,0.015
ZFCR28,Crystal River,0.009,0.014,0.009,0.007,0.479,0.003,0.006,0.027,0.006,0.016,0.007,0.019,0.019,0.016,0.012,0.013,0.004,0.126,0.136,0.005,0.008,0.025,0.007,0.024,0.006
ZFCR29,Crystal River,0.009,0.004,0.005,0.004,0.666,0.01,0.006,0.006,0.004,0.004,0.006,0.002,0.007,0.005,0.004,0.006,0.009,0.005,0.007,0.026,0.174,0.006,0.007,0.005,0.014
ZFCR30,Crystal River,0.021,0.005,0.008,0.007,0.797,0.004,0.012,0.007,0.005,0.004,0.004,0.008,0.007,0.007,0.009,0.009,0.01,0.006,0.006,0.028,0.006,0.006,0.006,0.006,0.012
ZFCR31,Crystal River,0.01,0.007,0.012,0.02,0.261,0.105,0.01,0.057,0.012,0.022,0.013,0.033,0.043,0.047,0.03,0.013,0.065,0.022,0.012,0.034,0.022,0.047,0.011,0.012,0.081
ZFCR33,Crystal River,0.033,0.029,0.023,0.009,0.017,0.004,0.01,0.01,0.015,0.005,0.03,0.008,0.014,0.008,0.023,0.529,0.025,0.009,0.08,0.031,0.048,0.01,0.006,0.016,0.008
ZFCR34,Crystal River,0.117,0.009,0.005,0.004,0.483,0.013,0.006,0.013,0.011,0.004,0.014,0.006,0.013,0.031,0.022,0.018,0.01,0.02,0.026,0.055,0.007,0.014,0.019,0.007,0.071
ZFCR35,Crystal River,0.005,0.007,0.008,0.004,0.649,0.035,0.006,0.006,0.012,0.003,0.011,0.003,0.008,0.006,0.004,0.024,0.017,0.005,0.006,0.005,0.066,0.005,0.009,0.004,0.092
ZFCR36,Crystal River,0.01,0.007,0.006,0.006,0.734,0.058,0.004,0.008,0.014,0.004,0.006,0.015,0.006,0.013,0.008,0.01,0.012,0.01,0.007,0.024,0.009,0.008,0.007,0.004,0.011
ZFCR37,Crystal River,0.319,0.028,0.027,0.016,0.026,0.046,0.004,0.004,0.016,0.003,0.038,0.003,0.004,0.004,0.004,0.088,0.042,0.005,0.02,0.203,0.059,0.004,0.004,0.004,0.031
ZFCR38,Crystal River,0.088,0.043,0.031,0.011,0.131,0.004,0.009,0.008,0.008,0.005,0.022,0.007,0.014,0.008,0.009,0.343,0.072,0.008,0.089,0.022,0.032,0.008,0.005,0.013,0.012
ZFCR39,Crystal River,0.007,0.047,0.008,0.025,0.063,0.029,0.006,0.033,0.147,0.011,0.048,0.003,0.022,0.014,0.01,0.353,0.028,0.05,0.017,0.008,0.015,0.034,0.005,0.011,0.009
ZFCR40,Crystal River,0.015,0.01,0.011,0.005,0.744,0.011,0.008,0.008,0.021,0.003,0.013,0.003,0.008,0.007,0.01,0.041,0.011,0.009,0.021,0.007,0.007,0.008,0.01,0.003,0.006
ZFCR41,Crystal River,0.01,0.017,0.007,0.005,0.711,0.004,0.07,0.009,0.003,0.003,0.023,0.008,0.007,0.01,0.037,0.011,0.003,0.006,0.006,0.011,0.008,0.009,0.004,0.011,0.008
ZFCR42,Crystal River,0.052,0.022,0.008,0.016,0.559,0.007,0.015,0.016,0.015,0.008,0.027,0.011,0.019,0.015,0.017,0.051,0.012,0.019,0.021,0.032,0.008,0.015,0.018,0.012,0.006
ZFCR43,Crystal River,0.009,0.003,0.009,0.004,0.718,0.037,0.009,0.017,0.003,0.018,0.006,0.005,0.004,0.005,0.003,0.021,0.004,0.004,0.006,0.006,0.011,0.024,0.062,0.003,0.007
,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFENP25,Everglades,0.044,0.014,0.017,0.005,0.009,0.004,0.008,0.006,0.005,0.002,0.007,0.002,0.006,0.003,0.005,0.747,0.004,0.019,0.038,0.007,0.025,0.006,0.006,0.008,0.003
ZFENP26,Everglades,0.017,0.004,0.005,0.004,0.013,0.005,0.008,0.003,0.007,0.002,0.005,0.003,0.003,0.003,0.006,0.838,0.006,0.003,0.044,0.004,0.004,0.003,0.002,0.004,0.006
ZFENP27,Everglades,0.037,0.072,0.018,0.028,0.05,0.015,0.04,0.013,0.012,0.004,0.068,0.037,0.017,0.013,0.019,0.388,0.019,0.033,0.038,0.004,0.028,0.016,0.014,0.008,0.007
ZFENP28,Everglades,0.104,0.014,0.03,0.005,0.038,0.007,0.005,0.005,0.009,0.007,0.015,0.011,0.005,0.005,0.005,0.449,0.017,0.004,0.225,0.007,0.006,0.005,0.003,0.005,0.013
ZFENP29,Everglades,0.023,0.008,0.004,0.007,0.081,0.004,0.005,0.004,0.006,0.002,0.009,0.004,0.004,0.004,0.004,0.473,0.005,0.004,0.318,0.007,0.008,0.003,0.006,0.003,0.004
ZFENP30,Everglades,0.039,0.04,0.007,0.086,0.012,0.005,0.005,0.005,0.014,0.007,0.014,0.01,0.01,0.005,0.004,0.513,0.009,0.006,0.161,0.013,0.007,0.005,0.004,0.007,0.009
ZFENP31,Everglades,0.017,0.01,0.024,0.321,0.011,0.015,0.005,0.007,0.197,0.01,0.013,0.004,0.007,0.003,0.004,0.175,0.032,0.004,0.066,0.009,0.018,0.008,0.003,0.004,0.033
ZFENP32,Everglades,0.011,0.007,0.006,0.07,0.013,0.008,0.009,0.012,0.109,0.015,0.008,0.014,0.021,0.013,0.007,0.206,0.019,0.007,0.024,0.009,0.034,0.012,0.005,0.007,0.355
ZFENP33,Everglades,0.087,0.004,0.015,0.018,0.005,0.005,0.006,0.008,0.005,0.004,0.005,0.004,0.006,0.005,0.006,0.732,0.008,0.006,0.013,0.017,0.012,0.008,0.005,0.003,0.014
ZFENP34,Everglades,0.035,0.01,0.27,0.063,0.014,0.024,0.005,0.007,0.005,0.005,0.025,0.007,0.006,0.004,0.004,0.369,0.028,0.003,0.025,0.007,0.022,0.006,0.003,0.003,0.051
ZFENP35,Everglades,0.027,0.004,0.008,0.006,0.005,0.017,0.011,0.008,0.059,0.003,0.004,0.012,0.008,0.015,0.02,0.509,0.005,0.005,0.218,0.011,0.005,0.007,0.017,0.004,0.011
ZFENP36,Everglades,0.196,0.003,0.005,0.007,0.007,0.004,0.003,0.003,0.01,0.002,0.003,0.013,0.003,0.007,0.005,0.598,0.009,0.003,0.083,0.006,0.004,0.003,0.002,0.002,0.02
ZFENP37,Everglades,0.113,0.008,0.242,0.007,0.006,0.007,0.008,0.007,0.043,0.004,0.006,0.008,0.006,0.011,0.005,0.419,0.007,0.006,0.022,0.016,0.007,0.006,0.006,0.004,0.025
ZFENP38,Everglades,0.431,0.016,0.023,0.012,0.011,0.007,0.007,0.005,0.019,0.004,0.008,0.014,0.006,0.007,0.007,0.192,0.018,0.006,0.087,0.089,0.007,0.005,0.005,0.004,0.011
ZFENP39,Everglades,0.019,0.007,0.01,0.005,0.027,0.006,0.004,0.003,0.008,0.002,0.01,0.004,0.003,0.003,0.004,0.83,0.006,0.003,0.008,0.007,0.013,0.003,0.005,0.003,0.007
ZFENP40,Everglades,0.022,0.004,0.008,0.008,0.013,0.008,0.004,0.01,0.014,0.005,0.005,0.005,0.007,0.006,0.004,0.82,0.006,0.007,0.005,0.004,0.009,0.009,0.007,0.003,0.006
ZFENP41,Everglades,0.006,0.032,0.009,0.021,0.012,0.013,0.013,0.006,0.014,0.004,0.029,0.009,0.009,0.008,0.005,0.736,0.004,0.004,0.02,0.004,0.01,0.006,0.009,0.006,0.011
ZFENP42,Everglades,0.14,0.005,0.005,0.011,0.038,0.003,0.005,0.004,0.309,0.002,0.007,0.003,0.005,0.005,0.006,0.254,0.007,0.004,0.141,0.026,0.004,0.004,0.003,0.005,0.004
ZFENP43,Everglades,0.209,0.018,0.028,0.007,0.017,0.006,0.029,0.009,0.013,0.005,0.038,0.043,0.007,0.015,0.029,0.372,0.02,0.007,0.065,0.028,0.008,0.007,0.006,0.005,0.009
ZFENP44,Everglades,0.083,0.008,0.01,0.013,0.007,0.004,0.007,0.007,0.054,0.002,0.009,0.007,0.007,0.006,0.007,0.707,0.006,0.006,0.013,0.013,0.005,0.007,0.005,0.002,0.005
