Sample.Name,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
TMA-ZAIN-G-83,MBC,0.007,0.016,0.01,0.008,0.008,0.021,0.005,0.016,0.026,0.725,0.015,0.018,0.017,0.084,0.021,0.004
TMA-ZAIN-G-84,MBC,0.01,0.007,0.004,0.008,0.748,0.003,0.009,0.005,0.031,0.012,0.005,0.007,0.031,0.013,0.101,0.006
TMA-ZAIN-G-85,MBC,0.003,0.004,0.004,0.004,0.003,0.004,0.946,0.003,0.004,0.004,0.004,0.004,0.002,0.003,0.004,0.004
TMA-ZAIN-G-86,MBC,0.008,0.009,0.005,0.003,0.006,0.004,0.903,0.006,0.011,0.01,0.005,0.004,0.007,0.009,0.011,0.003
TMA-ZAIN-G-87,MBC,0.003,0.004,0.004,0.004,0.003,0.004,0.948,0.002,0.003,0.003,0.004,0.006,0.003,0.003,0.003,0.003
TMA-ZAIN-G-88,MBC,0.009,0.009,0.07,0.008,0.022,0.142,0.412,0.028,0.035,0.079,0.009,0.008,0.009,0.08,0.065,0.014
TMA-ZAIN-G-89,MBC,0.01,0.007,0.329,0.008,0.038,0.027,0.35,0.022,0.04,0.026,0.004,0.015,0.017,0.028,0.045,0.034
TMA-ZAIN-G-90,MBC,0.004,0.005,0.034,0.006,0.004,0.013,0.833,0.011,0.007,0.03,0.005,0.004,0.004,0.023,0.013,0.004
TMA-ZAIN-G-91,MBC,0.007,0.013,0.035,0.006,0.008,0.042,0.793,0.01,0.012,0.012,0.015,0.005,0.006,0.008,0.014,0.012
TMA-ZAIN-G-92,MBC,0.009,0.009,0.253,0.026,0.011,0.01,0.538,0.006,0.011,0.008,0.028,0.031,0.032,0.004,0.012,0.012
TMA-ZAIN-G-93,MBC,0.006,0.007,0.483,0.025,0.007,0.04,0.249,0.007,0.008,0.006,0.099,0.017,0.011,0.004,0.009,0.022
TMA-ZAIN-G-94,MBC,0.003,0.004,0.049,0.008,0.004,0.094,0.778,0.005,0.005,0.006,0.013,0.01,0.005,0.003,0.005,0.007
TMA-ZAIN-G-95,MBC,0.019,0.004,0.004,0.03,0.011,0.006,0.005,0.007,0.007,0.003,0.868,0.008,0.003,0.006,0.005,0.015
TMA-ZAIN-G-96,MBC,0.096,0.006,0.005,0.064,0.003,0.006,0.009,0.004,0.005,0.008,0.754,0.008,0.005,0.009,0.005,0.015
TMA-ZAIN-G-97,MBC,0.004,0.006,0.011,0.017,0.016,0.885,0.008,0.007,0.007,0.004,0.005,0.006,0.005,0.003,0.009,0.007
TMA-ZAIN-G-98,MBC,0.004,0.006,0.01,0.005,0.013,0.912,0.007,0.005,0.007,0.004,0.003,0.004,0.004,0.003,0.008,0.005
TMA-ZAIN-G-99,MBC,0.031,0.009,0.003,0.006,0.005,0.659,0.005,0.014,0.116,0.067,0.007,0.007,0.019,0.016,0.031,0.006
TMA-ZAIN-G-101,MBC,0.004,0.004,0.021,0.021,0.006,0.84,0.034,0.005,0.005,0.004,0.005,0.008,0.03,0.003,0.006,0.007
TMA-ZAIN-G-102,MBC,0.004,0.006,0.013,0.01,0.009,0.885,0.004,0.006,0.022,0.005,0.005,0.004,0.006,0.005,0.012,0.006
TMA-ZAIN-G-103,MBC,0.037,0.008,0.009,0.049,0.011,0.146,0.021,0.011,0.016,0.014,0.011,0.537,0.007,0.077,0.021,0.026
TMA-ZAIN-G-104,MBC,0.011,0.013,0.006,0.049,0.008,0.688,0.027,0.005,0.015,0.021,0.019,0.081,0.004,0.028,0.018,0.007
TMA-ZAIN-G-105,MBC,0.004,0.006,0.005,0.008,0.003,0.934,0.003,0.002,0.003,0.004,0.004,0.009,0.004,0.004,0.003,0.004
TMA-ZAIN-G-106,MBC,0.012,0.017,0.007,0.027,0.008,0.725,0.041,0.006,0.017,0.021,0.02,0.034,0.003,0.032,0.024,0.007
TMA-ZAIN-G-107,MBC,0.428,0.035,0.006,0.004,0.085,0.004,0.007,0.045,0.158,0.031,0.006,0.003,0.003,0.059,0.04,0.085
TMA-ZAIN-G-108,MBC,0.013,0.021,0.007,0.005,0.082,0.004,0.007,0.013,0.471,0.045,0.006,0.003,0.003,0.256,0.055,0.011
TMA-ZAIN-G-109,MBC,0.024,0.01,0.014,0.05,0.011,0.1,0.059,0.006,0.014,0.593,0.009,0.036,0.02,0.007,0.028,0.02
TMA-ZAIN-G-110,MBC,0.074,0.046,0.062,0.008,0.007,0.27,0.017,0.138,0.048,0.097,0.047,0.006,0.004,0.135,0.02,0.021
TMA-ZAIN-G-111,MBC,0.059,0.066,0.014,0.075,0.016,0.043,0.02,0.006,0.219,0.104,0.021,0.071,0.114,0.085,0.072,0.016
TMA-ZAIN-G-112,MBC,0.012,0.008,0.018,0.077,0.036,0.336,0.006,0.009,0.016,0.069,0.019,0.156,0.021,0.157,0.056,0.004
TMA-ZAIN-G-113,MBC,0.159,0.047,0.02,0.105,0.014,0.206,0.014,0.016,0.061,0.05,0.04,0.066,0.013,0.063,0.095,0.031
TMA-ZAIN-G-114,MBC,0.004,0.008,0.017,0.005,0.023,0.852,0.006,0.01,0.012,0.01,0.004,0.01,0.005,0.013,0.018,0.006
TMA-ZAIN-G-115,MBC,0.003,0.002,0.004,0.005,0.003,0.934,0.007,0.003,0.003,0.004,0.004,0.01,0.009,0.004,0.003,0.002
TMA-ZAIN-G-116,MBC,0.003,0.003,0.004,0.003,0.003,0.943,0.003,0.003,0.003,0.005,0.004,0.006,0.004,0.005,0.004,0.003
TMA-ZAIN-G-117,MBC,0.006,0.01,0.01,0.003,0.008,0.005,0.005,0.008,0.011,0.682,0.006,0.003,0.002,0.221,0.016,0.005
TMA-ZAIN-G-118,MBC,0.028,0.076,0.024,0.006,0.057,0.005,0.023,0.108,0.034,0.512,0.023,0.003,0.003,0.017,0.037,0.043
TMA-ZAIN-G-119,MBC,0.011,0.01,0.008,0.005,0.01,0.005,0.005,0.018,0.011,0.59,0.009,0.003,0.003,0.283,0.014,0.016
TMA-ZAIN-G-120,MBC,0.005,0.01,0.009,0.014,0.028,0.014,0.004,0.015,0.01,0.631,0.012,0.011,0.013,0.205,0.015,0.004
TMA-ZAIN-G-121,MBC,0.01,0.015,0.008,0.007,0.011,0.006,0.01,0.012,0.016,0.673,0.012,0.004,0.003,0.159,0.017,0.038
TMA-ZAIN-G-122,MBC,0.012,0.014,0.008,0.004,0.008,0.004,0.005,0.026,0.012,0.855,0.01,0.003,0.002,0.02,0.01,0.007
TMA-ZAIN-G-123,MBC,0.018,0.052,0.008,0.004,0.01,0.004,0.04,0.013,0.047,0.721,0.03,0.004,0.007,0.017,0.019,0.007
TMA-ZAIN-G-124,MBC,0.005,0.004,0.005,0.015,0.005,0.894,0.009,0.004,0.005,0.007,0.006,0.016,0.004,0.004,0.005,0.012
TMA-ZAIN-G-125,MBC,0.019,0.91,0.003,0.004,0.004,0.004,0.006,0.003,0.009,0.008,0.005,0.003,0.003,0.006,0.006,0.006
TMA-ZAIN-G-126,MBC,0.009,0.908,0.02,0.003,0.005,0.002,0.005,0.013,0.006,0.004,0.004,0.002,0.002,0.005,0.005,0.009
TMA-ZAIN-G-127,MBC,0.02,0.897,0.006,0.003,0.004,0.003,0.005,0.004,0.01,0.006,0.004,0.003,0.002,0.012,0.006,0.015
TMA-ZAIN-G-128,MBC,0.055,0.864,0.003,0.003,0.004,0.003,0.004,0.005,0.014,0.006,0.004,0.002,0.003,0.012,0.01,0.007
TMA-ZAIN-G-129,MBC,0.012,0.897,0.004,0.003,0.004,0.003,0.005,0.011,0.012,0.016,0.007,0.003,0.003,0.006,0.009,0.006
TMA-ZAIN-G-130,MBC,0.011,0.912,0.004,0.004,0.005,0.004,0.005,0.004,0.014,0.009,0.005,0.003,0.002,0.005,0.005,0.008
TMA-ZAIN-G-131,MBC,0.006,0.909,0.014,0.004,0.004,0.004,0.005,0.004,0.005,0.008,0.004,0.003,0.002,0.008,0.004,0.016
TMA-ZAIN-G-132,MBC,0.017,0.915,0.003,0.004,0.003,0.003,0.007,0.004,0.008,0.006,0.005,0.003,0.003,0.005,0.005,0.008
